"GEOID","NAMELSAD","Particulate.Matter"
"23001","Androscoggin County",4.78072910432488
"23023","Sagadahoc County",4.66048454637705
"23029","Washington County",4.03735933179518
"23027","Waldo County",4.08685618435908
"23031","York County",4.98577112851928
"23019","Penobscot County",4.45533807941072
"23011","Kennebec County",4.56337738410647
"23017","Oxford County",4.43997515005783
"23021","Piscataquis County",4.16201162687407
"23015","Lincoln County",4.35990306595019
"23005","Cumberland County",4.94272239602211
"23009","Hancock County",4.09692922596751
"23013","Knox County",4.0464598114255
"23007","Franklin County",4.15204318755978
"23003","Aroostook County",4.16792804817141
"23025","Somerset County",4.53361338174044
