"GEOID","NAMELSAD","Particulate.Matter"
"50011","Franklin County",5.42908313136678
"50017","Orange County",5.17434954394045
"50009","Essex County",4.58540501606677
"50021","Rutland County",5.34683188820537
"50015","Lamoille County",4.69714110974279
"50005","Caledonia County",5.0276941647108
"50003","Bennington County",5.21226671758386
"50013","Grand Isle County",5.95394510030087
"50007","Chittenden County",5.7205417237129
"50027","Windsor County",5.24451754904344
"50023","Washington County",5.04543661384824
"50001","Addison County",5.81496109246403
"50025","Windham County",5.44632613907363
"50019","Orleans County",4.92435178730658
