"GEOID","NAMELSAD","Particulate.Matter"
"42001031700","Census Tract 317",7.64975198508705
"42001030500","Census Tract 305",9.3079492834408
"42001031600","Census Tract 316",8.88104721830177
"42001030600","Census Tract 306",9.66913789903431
"42001030200","Census Tract 302",9.26261170751917
"42001030102","Census Tract 301.02",9.75584772507857
"42001031101","Census Tract 311.01",9.64088647261125
"42001031203","Census Tract 312.03",9.12168897250258
"42001030800","Census Tract 308",9.62803052654328
"42001031000","Census Tract 310",9.64843359822221
"42001031401","Census Tract 314.01",9.55838137515299
"42001031201","Census Tract 312.01",9.48292296486987
"42001030300","Census Tract 303",7.9889571163989
"42001030101","Census Tract 301.01",9.46994336215378
"42001031502","Census Tract 315.02",9.55871255503089
"42001030700","Census Tract 307",9.75045515071655
"42001031300","Census Tract 313",9.30736933580351
"42001031402","Census Tract 314.02",9.4379411892258
"42001031102","Census Tract 311.02",9.51749424512249
"42001030400","Census Tract 304",7.8962824039212
"42001030900","Census Tract 309",9.72451587144086
"42001031202","Census Tract 312.02",9.16694362564727
"42001031501","Census Tract 315.01",9.57209334022272
