"GEOID","NAMELSAD","Particulate.Matter"
"24009861004","Census Tract 8610.04",7.3979726948245
"24009861003","Census Tract 8610.03",7.41803845723189
"24009860300","Census Tract 8603",8.19406061716011
"24009860701","Census Tract 8607.01",8.28345861214867
"24009860502","Census Tract 8605.02",7.80496569273679
"24009860801","Census Tract 8608.01",7.93947737068284
"24009860200","Census Tract 8602",8.6941030500823
"24009861001","Census Tract 8610.01",7.50460670473242
"24009860802","Census Tract 8608.02",7.79563832484867
"24009860401","Census Tract 8604.01",8.39240996106991
"24009860600","Census Tract 8606",8.50957694719992
"24009860402","Census Tract 8604.02",8.31737041588458
"24009860102","Census Tract 8601.02",8.78608340487411
"24009860703","Census Tract 8607.03",8.21902645019179
"24009860702","Census Tract 8607.02",7.99723397792096
"24009860501","Census Tract 8605.01",7.9498671262976
"24009860900","Census Tract 8609",7.55299980667697
"24009860101","Census Tract 8601.01",8.97002523551153
