"GEOID","NAMELSAD","Particulate.Matter"
"40031002500","Census Tract 25",8.1628279924236
"40031002403","Census Tract 24.03",5.93474691252459
"40031002005","Census Tract 20.05",6.18123024992977
"40031002302","Census Tract 23.02",5.53923785869075
"40031002401","Census Tract 24.01",5.6070863129621
"40031000200","Census Tract 2",7.47253221777484
"40031002100","Census Tract 21",5.95573380796646
"40031000100","Census Tract 1",6.64259913214133
"40031000800","Census Tract 8",6.99811030644064
"40031002003","Census Tract 20.03",6.08668211658466
"40031001902","Census Tract 19.02",6.2340381642542
"40031002404","Census Tract 24.04",6.34156494570058
"40031002301","Census Tract 23.01",5.82954040102112
"40031002004","Census Tract 20.04",6.11868668738671
"40031000700","Census Tract 7",8.15006912417768
"40031000900","Census Tract 9",7.59850821149827
"40031001000","Census Tract 10",8.16954355953295
"40031001100","Census Tract 11",7.61712050563879
"40031001400","Census Tract 14",8.14599395433852
"40031001500","Census Tract 15",7.67263418973354
"40031001600","Census Tract 16",7.16638514373775
"40031001700","Census Tract 17",7.77453473312768
"40031001901","Census Tract 19.01",6.23617050959972
"40031002001","Census Tract 20.01",6.15301557379361
"40031002200","Census Tract 22",5.52443514431135
"40031000300","Census Tract 3",7.95241105164733
"40031000401","Census Tract 4.01",8.07528739004359
"40031000402","Census Tract 4.02",7.48844065260671
"40031000403","Census Tract 4.03",6.25392913734307
"40031000501","Census Tract 5.01",7.4377694822121
"40031000502","Census Tract 5.02",6.32054251328895
"40031000600","Census Tract 6",8.12657343411551
