"GEOID","NAMELSAD","Particulate.Matter"
"45045002805","Census Tract 28.05",8.18677797889395
"45045002901","Census Tract 29.01",7.87751360444853
"45045002003","Census Tract 20.03",7.90285292263815
"45045002503","Census Tract 25.03",7.97571809402785
"45045002608","Census Tract 26.08",7.74313427912852
"45045002604","Census Tract 26.04",7.89267177429994
"45045002304","Census Tract 23.04",8.40861366896007
"45045003601","Census Tract 36.01",7.99365419379485
"45045003602","Census Tract 36.02",8.25017112965128
"45045002903","Census Tract 29.03",8.27563534288574
"45045002402","Census Tract 24.02",7.5918701765228
"45045002702","Census Tract 27.02",7.37728848981275
"45045001900","Census Tract 19",8.26444633066017
"45045002609","Census Tract 26.09",8.08120799661493
"45045003101","Census Tract 31.01",7.52785718640827
"45045002701","Census Tract 27.01",7.00092103728524
"45045002108","Census Tract 21.08",9.35383523461623
"45045003705","Census Tract 37.05",8.03381034005644
"45045003902","Census Tract 39.02",7.28430556612807
"45045002606","Census Tract 26.06",7.58174270929945
"45045002808","Census Tract 28.08",8.36598100597729
"45045002803","Census Tract 28.03",8.14518020161332
"45045000400","Census Tract 4",9.29111203606368
"45045000500","Census Tract 5",9.35717844755519
"45045002814","Census Tract 28.14",7.41638778720466
"45045001807","Census Tract 18.07",8.04481547440876
"45045002610","Census Tract 26.10",7.59543620941861
"45045002611","Census Tract 26.11",7.51967665040399
"45045002812","Census Tract 28.12",8.00175704781067
"45045003008","Census Tract 30.08",7.43993441680849
"45045001502","Census Tract 15.02",8.22110507449177
"45045001700","Census Tract 17",8.56437841755077
"45045001803","Census Tract 18.03",8.16388412028523
"45045001804","Census Tract 18.04",7.93389137923051
"45045001805","Census Tract 18.05",8.37795973276585
"45045002302","Census Tract 23.02",8.70448416794706
"45045002303","Census Tract 23.03",9.16497779843722
"45045002504","Census Tract 25.04",8.88831436475646
"45045002505","Census Tract 25.05",8.44454673355161
"45045002602","Census Tract 26.02",7.85291889003023
"45045000700","Census Tract 7",9.33531846644649
"45045000800","Census Tract 8",9.30005081389555
"45045000900","Census Tract 9",9.26740060719822
"45045001000","Census Tract 10",9.14709565848583
"45045001101","Census Tract 11.01",8.63417595990438
"45045001102","Census Tract 11.02",8.77654562445969
"45045003103","Census Tract 31.03",7.09024041743181
"45045003015","Census Tract 30.15",7.20334913314546
"45045002404","Census Tract 24.04",6.53690994329658
"45045002001","Census Tract 20.01",8.3131460552505
"45045002103","Census Tract 21.03",8.26008161395593
"45045002105","Census Tract 21.05",9.40003846262256
"45045002904","Census Tract 29.04",7.9426099177387
"45045003303","Census Tract 33.03",6.98617475850116
"45045004002","Census Tract 40.02",6.51040220071647
"45045004102","Census Tract 41.02",6.22749188334228
"45045002507","Census Tract 25.07",7.98710205260034
"45045004001","Census Tract 40.01",7.07939661717215
"45045003010","Census Tract 30.10",7.58296552672392
"45045002905","Census Tract 29.05",7.76600488875654
"45045003201","Census Tract 32.01",6.73863403309099
"45045003104","Census Tract 31.04",6.77251137971133
"45045002815","Census Tract 28.15",7.57041200922015
"45045004101","Census Tract 41.01",7.20300384026695
"45045002104","Census Tract 21.04",9.2542923613865
"45045003704","Census Tract 37.04",7.83991125631891
"45045003903","Census Tract 39.03",7.16722895229938
"45045001600","Census Tract 16",7.57606501624806
"45045002804","Census Tract 28.04",7.85757837073643
"45045003802","Census Tract 38.02",7.1160114235181
"45045001302","Census Tract 13.02",8.88445286636822
"45045001400","Census Tract 14",8.1180763416921
"45045001501","Census Tract 15.01",8.29056913522675
"45045002106","Census Tract 21.06",9.22641146249877
"45045002107","Census Tract 21.07",9.408227073711
"45045002201","Census Tract 22.01",8.59027293594314
"45045002202","Census Tract 22.02",8.66662031019678
"45045002301","Census Tract 23.01",7.73016601514222
"45045003005","Census Tract 30.05",8.42898837155081
"45045003301","Census Tract 33.01",6.98383063874289
"45045003500","Census Tract 35",7.61288415358302
"45045003401","Census Tract 34.01",8.01085461925236
"45045001205","Census Tract 12.05",8.65812052290263
"45045004200","Census Tract 42",8.81114531511474
"45045003701","Census Tract 37.01",7.59104667296619
"45045003801","Census Tract 38.01",7.41365943603128
"45045003904","Census Tract 39.04",7.2999720954828
"45045000100","Census Tract 1",9.14296679165789
"45045004400","Census Tract 44",9.09080943769079
"45045002816","Census Tract 28.16",7.44903420330507
"45045003013","Census Tract 30.13",7.42709695294538
"45045003304","Census Tract 33.04",7.24021583057534
"45045001203","Census Tract 12.03",8.8508641221205
"45045001204","Census Tract 12.04",8.84808565521404
"45045003009","Census Tract 30.09",7.43456946005261
"45045001809","Census Tract 18.09",8.4540566191232
"45045001810","Census Tract 18.10",9.10684130159247
"45045001808","Census Tract 18.08",8.98713609450638
"45045002811","Census Tract 28.11",8.16077061845045
"45045002005","Census Tract 20.05",7.72664706065529
"45045003706","Census Tract 37.06",7.73996755634369
"45045002403","Census Tract 24.03",7.17414682952496
"45045002506","Census Tract 25.06",7.91635174837983
"45045003014","Census Tract 30.14",7.6991976345307
"45045003011","Census Tract 30.11",7.59312227992971
"45045003202","Census Tract 32.02",6.62082165372712
"45045003012","Census Tract 30.12",7.84799458719531
"45045002813","Census Tract 28.13",7.49252601624534
"45045003707","Census Tract 37.07",7.60587033040742
"45045004300","Census Tract 43",8.64795358491323
"45045000200","Census Tract 2",9.24895392404662
