"GEOID","NAMELSAD","Particulate.Matter"
"45051050402","Census Tract 504.02",7.09331459006617
"45051051406","Census Tract 514.06",7.95985213632997
"45051051405","Census Tract 514.05",7.43379121950406
"45051051502","Census Tract 515.02",7.15740032834337
"45051051501","Census Tract 515.01",7.71861431991954
"45051051301","Census Tract 513.01",7.57079446966916
"45051060207","Census Tract 602.07",6.80842861707034
"45051060209","Census Tract 602.09",6.90177904798233
"45051051000","Census Tract 510",7.17986026512437
"45051050102","Census Tract 501.02",7.3432273208685
"45051051605","Census Tract 516.05",7.13976067950418
"45051060101","Census Tract 601.01",7.14582173631926
"45051040102","Census Tract 401.02",6.9930165075255
"45051030101","Census Tract 301.01",7.03994584967085
"45051070601","Census Tract 706.01",6.98256402156415
"45051070602","Census Tract 706.02",6.92717386586004
"45051080101","Census Tract 801.01",7.28069493936524
"45051060403","Census Tract 604.03",7.4662630673853
"45051051202","Census Tract 512.02",7.68053969800176
"45051070701","Census Tract 707.01",7.20621322621169
"45051080102","Census Tract 801.02",7.23134354111598
"45051030103","Census Tract 301.03",7.05518725071159
"45051060301","Census Tract 603.01",6.95642579064987
"45051040103","Census Tract 401.03",6.90572298566174
"45051040104","Census Tract 401.04",6.72368601631962
"45051060404","Census Tract 604.04",7.07024929453397
"45051060303","Census Tract 603.03",6.89450279097963
"45051050303","Census Tract 503.03",7.01675179636673
"45051060204","Census Tract 602.04",7.2379991362842
"45051051603","Census Tract 516.03",6.91734355825393
"45051051403","Census Tract 514.03",7.2440644032654
"45051051404","Census Tract 514.04",7.51309000233536
"45051051604","Census Tract 516.04",7.04563438410268
"45051060102","Census Tract 601.02",7.03341094229358
"45051060203","Census Tract 602.03",6.95888020872849
"45051060206","Census Tract 602.06",6.9736275307536
"45051060405","Census Tract 604.05",7.5523494647388
"45051060406","Census Tract 604.06",7.0021177847229
"45051070702","Census Tract 707.02",7.03241904554067
"45051051700","Census Tract 517",7.34585725020685
"45051070101","Census Tract 701.01",7.17298687778547
"45051070102","Census Tract 701.02",7.05990020854232
"45051030102","Census Tract 301.02",7.09659776898028
"45051040101","Census Tract 401.01",6.9467533134318
"45051040105","Census Tract 401.05",7.11714548409884
"45051060308","Census Tract 603.08",6.78814874867817
"45051060208","Census Tract 602.08",7.10289334880839
"45051051503","Census Tract 515.03",7.21461290530487
"45051050401","Census Tract 504.01",7.14617776908417
"45051051201","Census Tract 512.01",7.75111506962093
"45051051302","Census Tract 513.02",7.93155761252232
"45051050900","Census Tract 509",7.53816685829736
"45051070500","Census Tract 705",7.21316207244152
"45051051601","Census Tract 516.01",6.9844678453167
"45051070200","Census Tract 702",7.40514617543742
"45051050500","Census Tract 505",7.70400307201215
"45051040500","Census Tract 405",7.28181270453616
"45051020100","Census Tract 201",7.21743735151213
"45051010100","Census Tract 101",7.39176159645443
"45051040200","Census Tract 402",6.92698186847418
"45051020200","Census Tract 202",7.07311365023023
"45051040300","Census Tract 403",7.54637240291585
"45051040400","Census Tract 404",7.35072623386228
"45051050200","Census Tract 502",7.12588145317617
"45051050600","Census Tract 506",7.96331258769411
"45051050700","Census Tract 507",7.59335384152268
"45051070400","Census Tract 704",7.18915636918525
"45051080200","Census Tract 802",7.06676862073889
"45051020300","Census Tract 203",7.1234079855325
"45051070300","Census Tract 703",7.45162317019342
"45051980100","Census Tract 9801",7.38439975930499
