"GEOID","NAMELSAD","Particulate.Matter"
"54039010801","Census Tract 108.01",7.13843549736118
"54039011302","Census Tract 113.02",7.49737763322923
"54039001700","Census Tract 17",8.5556354174873
"54039010200","Census Tract 102",9.45970667809939
"54039013800","Census Tract 138",7.90780553102371
"54039001800","Census Tract 18",7.27418529678515
"54039010100","Census Tract 101",8.60058627271349
"54039011200","Census Tract 112",7.04623134574899
"54039012300","Census Tract 123",6.84926740730133
"54039013600","Census Tract 136",7.55346528634832
"54039011500","Census Tract 115",8.32911136961638
"54039010300","Census Tract 103",9.45159554768177
"54039011100","Census Tract 111",7.15059928347206
"54039001100","Census Tract 11",7.87230467739599
"54039010802","Census Tract 108.02",7.20472444587834
"54039002100","Census Tract 21",9.0672053694337
"54039011301","Census Tract 113.01",7.4485711171693
"54039001902","Census Tract 19.02",7.35198033622652
"54039010702","Census Tract 107.02",7.59263891065692
"54039013100","Census Tract 131",7.72525044173877
"54039013000","Census Tract 130",8.12788542458045
"54039010900","Census Tract 109",7.17976025203247
"54039010600","Census Tract 106",7.79739442358298
"54039002000","Census Tract 20",8.75359908393419
"54039000500","Census Tract 5",8.54368608990347
"54039000200","Census Tract 2",8.19842217540258
"54039013300","Census Tract 133",7.64855775628855
"54039001901","Census Tract 19.01",7.65411505624284
"54039000300","Census Tract 3",7.73212343354935
"54039011402","Census Tract 114.02",6.8497545574963
"54039010500","Census Tract 105",7.56227311578531
"54039012100","Census Tract 121",6.65051888209798
"54039011000","Census Tract 110",7.68258510559248
"54039010701","Census Tract 107.01",7.53185696864415
"54039012800","Census Tract 128",8.73747065082838
"54039000600","Census Tract 6",9.03016175353539
"54039012200","Census Tract 122",6.71120360147196
"54039000700","Census Tract 7",9.86947547215337
"54039000800","Census Tract 8",9.53973915410839
"54039010400","Census Tract 104",8.43227349092895
"54039011401","Census Tract 114.01",7.20012920773194
"54039011800","Census Tract 118",6.94397820681833
"54039013701","Census Tract 137.01",6.8385171301159
"54039013702","Census Tract 137.02",7.28627304106969
"54039012900","Census Tract 129",9.83059219606817
"54039013200","Census Tract 132",7.21949351619245
"54039013400","Census Tract 134",8.65769230951442
"54039013500","Census Tract 135",8.9456212154588
"54039000900","Census Tract 9",9.57095956801037
"54039001200","Census Tract 12",9.1916917290394
"54039001300","Census Tract 13",9.26968830354063
"54039001500","Census Tract 15",8.59608731337435
"54039000100","Census Tract 1",9.47208431087616
