"GEOID","NAMELSAD","Particulate.Matter"
"26091062000","Census Tract 620",8.13811028566862
"26091061800","Census Tract 618",7.24911068429848
"26091061900","Census Tract 619",7.79377576820458
"26091060700","Census Tract 607",8.03806723791667
"26091061200","Census Tract 612",8.20529741512951
"26091061301","Census Tract 613.01",8.73236033672571
"26091061302","Census Tract 613.02",9.9569233548004
"26091061400","Census Tract 614",8.9532210804148
"26091061500","Census Tract 615",8.20147366032854
"26091061600","Census Tract 616",9.29734376778564
"26091060100","Census Tract 601",8.26205161713891
"26091060800","Census Tract 608",8.77819111858692
"26091061700","Census Tract 617",7.7593218300851
"26091060500","Census Tract 605",6.98185142958411
"26091060600","Census Tract 606",7.40559422213551
"26091060401","Census Tract 604.01",6.73119715570538
"26091062300","Census Tract 623",7.98643386566224
"26091060402","Census Tract 604.02",6.70832344375093
"26091060302","Census Tract 603.02",7.01010680359465
"26091062400","Census Tract 624",7.53246303862345
"26091062200","Census Tract 622",8.54848501403045
"26091060301","Census Tract 603.01",7.21658310751567
"26091062100","Census Tract 621",8.56486081507907
