"GEOID","NAME","Particulate.Matter"
"01097003902","39.02",8.71255467984867
"01097000500","5",9.12915029771749
"01097003301","33.01",8.90750496007719
"01097006402","64.02",7.59241277915182
"01097007102","71.02",7.80065655313335
"01097000800","8",8.44665184522011
"01097003204","32.04",9.38238926758757
"01097002301","23.01",8.26949160339286
"01097002302","23.02",8.77147340235506
"01097006902","69.02",7.78134092100748
"01097002502","25.02",8.66941032115348
"01097005300","53",8.3049202697671
"01097005600","56",7.90721389758825
"01097006000","60",7.46369160679185
"01097006103","61.03",7.66915931437739
"01097006802","68.02",7.84148431142207
"01097007000","70",7.84119697924309
"01097000200","2",9.77273002134074
"01097000401","4.01",9.51577751742773
"01097000402","4.02",9.37830527433515
"01097000600","6",8.71044793445996
"01097005400","54",8.03994315751287
"01097002400","24",9.45752335752574
"01097003708","37.08",7.56186166807577
"01097003710","37.10",7.72334396581978
"01097002501","25.01",9.01226187164196
"01097003205","32.05",8.66666844844525
"01097003302","33.02",8.2013181688002
"01097003402","34.02",7.88333986870306
"01097003405","34.05",7.60363539239971
"01097003406","34.06",7.84166494936409
"01097003901","39.01",8.75793511012483
"01097000701","7.01",8.65746583317859
"01097000702","7.02",8.83329907933816
"01097002600","26",9.13151679374033
"01097003408","34.08",7.70576860577794
"01097004000","40",9.539860349846
"01097004100","41",9.48603861304602
"01097002700","27",9.39149802054634
"01097001100","11",9.71115114009676
"01097000901","9.01",9.57150078591625
"01097000902","9.02",9.34554497542718
"01097000903","9.03",9.59963277384833
"01097001001","10.01",9.75702795333721
"01097001002","10.02",9.71442838741189
"01097001302","13.02",9.53942272513601
"01097001400","14",9.61732720501655
"01097002800","28",9.19915448443749
"01097004800","48",9.49035370829477
"01097003501","35.01",7.64802165514467
"01097004900","49",8.42344902822843
"01097005000","50",8.26985114243805
"01097001501","15.01",9.16533955742343
"01097001800","18",7.69993326839485
"01097003502","35.02",7.84998422345156
"01097005100","51",8.8706091261565
"01097005200","52",9.25101951842341
"01097002900","29",9.34357125559194
"01097003602","36.02",7.63084797141653
"01097003605","36.05",8.00679658230858
"01097003606","36.06",8.23146053353336
"01097003608","36.08",7.60621203978079
"01097003703","37.03",8.39597439745224
"01097006403","64.03",7.58213979843195
"01097001901","19.01",7.70906768939864
"01097001902","19.02",7.70469069302525
"01097007300","73",7.19066727854287
"01097005900","59",7.56518969995127
"01097006104","61.04",7.58689098380148
"01097005500","55",7.96760825826896
"01097007101","71.01",7.7298548019821
"01097003404","34.04",7.59545600147012
"01097006600","66",7.13350189074461
"01097006801","68.01",7.59500378727355
"01097006301","63.01",7.44647973035949
"01097002000","20",7.79173914562136
"01097001502","15.02",9.24374766869981
"01097001200","12",8.85583562862449
"01097003607","36.07",8.38331433467942
"01097006200","62",7.40903651565169
"01097005800","58",7.92958615814965
"01097003709","37.09",7.69058030172695
"01097006105","61.05",7.66627782055582
"01097006901","69.01",7.70472362875533
"01097006102","61.02",7.50507559273908
"01097003407","34.07",7.57082350869906
"01097002200","22",8.27966966017285
"01097003800","38",8.11716637829482
"01097003000","30",8.02300024414701
"01097005700","57",7.91258567912437
"01097007103","71.03",7.464136750793
"01097006302","63.02",7.48343418419156
"01097007600","76",9.82382186483179
"01097007500","75",9.81327387679177
"01097003100","31",8.12937166167064
"01097006404","64.04",7.53914003953808
"01097003202","32.02",8.07869320694698
"01097003704","37.04",8.85331218664532
"01097003705","37.05",8.00295577081925
"01097003706","37.06",8.28369252399865
"01097003707","37.07",8.19489262113657
"01097006405","64.05",7.79540276389546
"01097002100","21",8.15755857467988
"01097003203","32.03",8.21216895486855
"01097006502","65.02",7.43979634940554
"01097006501","65.01",7.60852602919988
"01097006702","67.02",7.57581008152781
"01097006407","64.07",7.43686573915388
"01097006406","64.06",7.49545573963317
"01097007202","72.02",7.35116172425647
"01097007201","72.01",7.41821563889481
"01097006701","67.01",7.37421818196581
"01097007700","77",9.51124970321802
"01097007400","74",8.13158421813888
