"GEOID","NAMELSAD","Particulate.Matter"
"32023980500","Census Tract 9805",2.91922299362058
"32023960401","Census Tract 9604.01",3.78737218350713
"32023960406","Census Tract 9604.06",4.88005444736078
"32023960404","Census Tract 9604.04",5.13786650141513
"32023960403","Census Tract 9604.03",4.5652899180607
"32023960402","Census Tract 9604.02",5.22586687944097
"32023960405","Census Tract 9604.05",5.18307782747404
"32023960100","Census Tract 9601",3.08006615079956
"32023960200","Census Tract 9602",2.97176002800482
"32023960300","Census Tract 9603",3.44151501522494
