"GEOID","NAMELSAD","Particulate.Matter"
"51155210700","Census Tract 2107",7.21212302245625
"51155980200","Census Tract 9802",7.09163421147047
"51155210500","Census Tract 2105",6.15256899087643
"51155210400","Census Tract 2104",6.5723108887797
"51155210100","Census Tract 2101",7.07018992514318
"51155210600","Census Tract 2106",7.1499173942666
"51155980100","Census Tract 9801",7.78784568962632
"51155210202","Census Tract 2102.02",6.59833893986746
"51155210201","Census Tract 2102.01",7.01833637472785
"51155210300","Census Tract 2103",6.56259533806715
