"GEOID","NAMELSAD","Particulate.Matter"
"26159011800","Census Tract 118",7.01771959241077
"26159011900","Census Tract 119",6.79942893636495
"26159012000","Census Tract 120",6.93095254789697
"26159011500","Census Tract 115",7.16610476833349
"26159010300","Census Tract 103",7.94773254048883
"26159011300","Census Tract 113",7.08423406163494
"26159010100","Census Tract 101",6.83166403539917
"26159010200","Census Tract 102",6.79621197569475
"26159010400","Census Tract 104",7.69321202129929
"26159010500","Census Tract 105",6.83493932114716
"26159010600","Census Tract 106",6.73813312298528
"26159010900","Census Tract 109",6.73889466946752
"26159011002","Census Tract 110.02",6.78870431462166
"26159011400","Census Tract 114",7.1888421206547
"26159011600","Census Tract 116",6.86581475813855
