"GEOID","NAMELSAD","Particulate.Matter"
"36115092000","Census Tract 920",5.97690041135306
"36115080200","Census Tract 802",7.69116750130334
"36115081000","Census Tract 810",5.90294989352165
"36115084000","Census Tract 840",6.01645296395248
"36115094000","Census Tract 940",6.34903913738452
"36115091000","Census Tract 910",6.12674379726949
"36115080100","Census Tract 801",7.61117084638634
"36115080300","Census Tract 803",6.38936922534346
"36115090000","Census Tract 900",5.9703645117528
"36115089000","Census Tract 890",6.33255613865413
"36115085000","Census Tract 850",6.31146730257182
"36115086000","Census Tract 860",5.74519515206576
"36115088000","Census Tract 880",6.56532829531888
"36115087000","Census Tract 870",6.23561214194037
"36115093000","Census Tract 930",6.13198849684595
"36115082002","Census Tract 820.02",5.83825351014672
"36115082001","Census Tract 820.01",6.26945064532866
