"GEOID","NAMELSAD","Particulate.Matter"
"44001030300","Census Tract 303",5.83514177427647
"44001030100","Census Tract 301",5.62494455188014
"44001030400","Census Tract 304",5.46801434230285
"44001030200","Census Tract 302",5.94035501781883
"44001030500","Census Tract 305",6.20334001562765
"44001030601","Census Tract 306.01",5.25491115486239
"44001030602","Census Tract 306.02",5.63941850228562
"44001030700","Census Tract 307",5.12652633657805
"44001030800","Census Tract 308",4.76111579727255
"44001030901","Census Tract 309.01",4.91291688682867
"44001030902","Census Tract 309.02",4.92966564469671
