"GEOID","NAMELSAD","Particulate.Matter"
"27049080500","Census Tract 805",5.12476473143871
"27049080200","Census Tract 802",5.61161258782074
"27049080101","Census Tract 801.01",5.76818251508202
"27049080400","Census Tract 804",5.2568423403421
"27049080600","Census Tract 806",5.37916312628614
"27049080700","Census Tract 807",4.99433974436718
"27049080800","Census Tract 808",5.04040529154283
"27049080300","Census Tract 803",5.29968017145952
"27049080900","Census Tract 809",5.18313132430987
"27049080102","Census Tract 801.02",5.49958948999969
