"GEOID","NAMELSAD","Particulate.Matter"
"21093001200","Census Tract 12",8.28672436522526
"21093000700","Census Tract 7",7.60149375105724
"21093001500","Census Tract 15",8.16415155653995
"21093001300","Census Tract 13",8.12493328500658
"21093001700","Census Tract 17",7.56686428230923
"21093001001","Census Tract 10.01",7.79294420065647
"21093000902","Census Tract 9.02",7.69915995055335
"21093000300","Census Tract 3",7.71948994512326
"21093000800","Census Tract 8",7.7603597461285
"21093001600","Census Tract 16",7.62928157301856
"21093000901","Census Tract 9.01",7.68555681367614
"21093001002","Census Tract 10.02",7.90159037491672
"21093000600","Census Tract 6",7.68583340165573
"21093001100","Census Tract 11",7.88434899393254
"21093000202","Census Tract 2.02",7.94460640071936
"21093001401","Census Tract 14.01",8.66041095683232
"21093980100","Census Tract 9801",7.7539592534162
"21093000201","Census Tract 2.01",8.18291936731209
"21093000500","Census Tract 5",7.82127183000922
"21093000400","Census Tract 4",7.94537324803914
"21093000100","Census Tract 1",8.07096487903583
"21093001402","Census Tract 14.02",8.43368772504775
