"GEOID","NAMELSAD","Particulate.Matter"
"06033000100","Census Tract 1",2.09741887300649
"06033000300","Census Tract 3",2.64698503527109
"06033000801","Census Tract 8.01",4.76390551599332
"06033000501","Census Tract 5.01",1.89599872872544
"06033000502","Census Tract 5.02",3.19083489463966
"06033000600","Census Tract 6",2.58291494400707
"06033000900","Census Tract 9",2.44050677449736
"06033001300","Census Tract 13",2.77683020241702
"06033001000","Census Tract 10",2.80261731132757
"06033000400","Census Tract 4",4.17688559930968
"06033001200","Census Tract 12",2.57475855543071
"06033001100","Census Tract 11",1.53133598256083
"06033000802","Census Tract 8.02",4.58112317995821
"06033000701","Census Tract 7.01",3.28131304306164
"06033000702","Census Tract 7.02",3.08059202706744
