"GEOID","NAMELSAD","Particulate.Matter"
"36051030500","Census Tract 305",6.38601142360041
"36051030900","Census Tract 309",6.29382461783707
"36051031000","Census Tract 310",6.43976217886751
"36051030700","Census Tract 307",5.42253272505627
"36051031300","Census Tract 313",5.37782733225958
"36051030100","Census Tract 301",5.54130111876968
"36051030600","Census Tract 306",5.5499138890868
"36051030400","Census Tract 304",6.13039373741129
"36051031200","Census Tract 312",5.30939405562608
"36051031100","Census Tract 311",4.82973505491325
"36051030800","Census Tract 308",5.99857972174228
"36051030201","Census Tract 302.01",5.80291233868039
"36051030300","Census Tract 303",5.95776781908079
"36051030202","Census Tract 302.02",5.72347566088679
"36051031400","Census Tract 314",6.13454097625391
