"GEOID","NAMELSAD","Particulate.Matter"
"42081010900","Census Tract 109",7.84485233864023
"42081011000","Census Tract 110",8.48236907702528
"42081011100","Census Tract 111",8.71062737655323
"42081000100","Census Tract 1",8.78005936821389
"42081000300","Census Tract 3",9.19044090008246
"42081000400","Census Tract 4",9.29952584014214
"42081000500","Census Tract 5",9.18303805323841
"42081010800","Census Tract 108",8.08559148605775
"42081000200","Census Tract 2",8.87237485571941
"42081010300","Census Tract 103",6.8802128818438
"42081011400","Census Tract 114",7.42414656832662
"42081010400","Census Tract 104",6.94380961604129
"42081010500","Census Tract 105",6.3959010898001
"42081010600","Census Tract 106",6.96275305932168
"42081010200","Census Tract 102",5.75593252561608
"42081010100","Census Tract 101",5.91551060366248
"42081011700","Census Tract 117",7.46523738170099
"42081011200","Census Tract 112",8.08097994957586
"42081011800","Census Tract 118",6.81247823054235
"42081011602","Census Tract 116.02",8.75550291973842
"42081011601","Census Tract 116.01",8.65160392269257
"42081011302","Census Tract 113.02",8.11826241669059
"42081011301","Census Tract 113.01",7.85332695326391
"42081011900","Census Tract 119",7.71809530697226
"42081000600","Census Tract 6",9.24076675307171
"42081000800","Census Tract 8",9.25380678853989
"42081000900","Census Tract 9",8.95034817286871
"42081001000","Census Tract 10",8.80685235478811
"42081010700","Census Tract 107",7.37521472663567
