"GEOID","NAME","Particulate.Matter"
"39101000900","9",8.76966305361486
"39101010500","105",7.77725254021121
"39101001000","10",8.02631385706188
"39101010300","103",7.62162145218041
"39101000600","6",8.58543687208985
"39101010400","104",7.66621902159633
"39101000400","4",8.3538530844072
"39101010201","102.01",7.57912457853388
"39101010100","101",7.5610841130622
"39101000300","3",9.03032282397094
"39101000100","1",9.51864124918939
"39101000501","5.01",9.46750860921897
"39101000502","5.02",9.24582023820041
"39101010202","102.02",7.82452263532525
"39101001100","11",7.97866203237838
"39101000700","7",9.30592681544269
"39101000800","8",8.83921508383789
"39101000200","2",9.04239608521121
