"GEOID","NAME","Particulate.Matter"
"01101005606","56.06",8.8687010191463
"01101002201","22.01",8.65182768340227
"01101002202","22.02",8.31874167916192
"01101002300","23",8.37688344924872
"01101002400","24",8.42590509066279
"01101002500","25",8.70920634128093
"01101002600","26",9.08894792678748
"01101002700","27",8.56687712204229
"01101002900","29",8.98503592001636
"01101003000","30",8.46999791358541
"01101003100","31",8.69293669634033
"01101003200","32",8.38107759417412
"01101005609","56.09",8.34114788512712
"01101001700","17",8.53539133126456
"01101001800","18",8.60146196513671
"01101001900","19",8.74696079879338
"01101002000","20",8.74746316019003
"01101002100","21",8.40007376672222
"01101005610","56.10",8.26699897269091
"01101005408","54.08",8.16959710192575
"01101005611","56.11",8.3450170201034
"01101005608","56.08",8.37259432988614
"01101005503","55.03",8.20587254613363
"01101005501","55.01",8.2520168910452
"01101005504","55.04",8.23220204166268
"01101005502","55.02",8.10865863569963
"01101005612","56.12",8.39086277034225
"01101005409","54.09",8.96378419248634
"01101005607","56.07",8.40293947217818
"01101005102","51.02",8.21203661684536
"01101006000","60",8.2054681364197
"01101000300","3",8.38622381673547
"01101002800","28",9.32390690145045
"01101005406","54.06",8.58217265942276
"01101006100","61",8.22805800202037
"01101005603","56.03",8.37103273009651
"01101005402","54.02",8.91471485117906
"01101005700","57",7.47985933083379
"01101005101","51.01",8.03040395076277
"01101005800","58",7.38541284500848
"01101001400","14",8.19840760669952
"01101001300","13",8.66363727960901
"01101005604","56.04",8.00676558942249
"01101000100","1",9.13617398048789
"01101000200","2",9.15755768442502
"01101000400","4",8.52265199220966
"01101000500","5",8.9009762136694
"01101000600","6",9.16905520236795
"01101000700","7",9.07819854132768
"01101000900","9",8.64720953500554
"01101001000","10",9.06448065610262
"01101001100","11",9.11130398559768
"01101001200","12",9.04957988796983
"01101001500","15",9.06751168457438
"01101001600","16",8.94648572538264
"01101005410","54.10",9.11110605762349
"01101005605","56.05",8.5103025954847
"01101005407","54.07",8.36431509544819
"01101005901","59.01",7.89973672676879
"01101003301","33.01",9.08638592457852
"01101003302","33.02",9.11499371393375
"01101005301","53.01",8.99380117073297
"01101005302","53.02",8.75604316619672
"01101005403","54.03",8.90700759744104
"01101005902","59.02",8.2714466539969
