"GEOID","NAME","Particulate.Matter"
"09011705300","7053",5.23007957296025
"09011709200","7092",5.12577339089265
"09011712100","7121",4.74675516869651
"09011702500","7025",6.04650045942117
"09011702600","7026",5.60661911408202
"09011702700","7027",5.97984786448151
"09011980000","9800",6.06433464305372
"09011696300","6963",4.93433952405949
"09011702100","7021",4.96170626075655
"09011700100","7001",4.88157190299205
"09011660101","6601.01",5.26332562183585
"09011709100","7091",4.53664355816235
"09011710100","7101",4.82915981698098
"09011696100","6961",4.93325475603748
"09011696200","6962",4.75568662445999
"09011696400","6964",5.47906472862754
"09011708100","7081",4.2116920973896
"09011696700","6967",5.86000143900149
"09011870100","8701",4.73024538934683
"09011702800","7028",5.24091185738814
"09011702900","7029",5.20894301057476
"09011703000","7030",5.10894155349086
"09011693700","6937",4.66024290456996
"09011716102","7161.02",4.68521302070067
"09011713100","7131",4.87624009403204
"09011696500","6965",5.74231666012904
"09011660102","6601.02",4.97635244142755
"09011714104","7141.04",4.6541393958725
"09011870704","8707.04",5.18342483360678
"09011870701","8707.01",5.01425668448666
"09011705102","7051.02",4.95587455182147
"09011705101","7051.01",5.0715434999209
"09011870300","8703",5.82696065987954
"09011715100","7151",4.67869025654615
"09011870703","8707.03",5.04730460005893
"09011870502","8705.02",5.41631553361016
"09011870501","8705.01",5.18481452108329
"09011714103","7141.03",4.80029648289907
"09011870200","8702",5.45735479079859
"09011690300","6903",5.67739801565374
"09011690400","6904",6.37037974902738
"09011690500","6905",6.25091576201566
"09011690700","6907",5.981925801369
"09011690800","6908",6.0632506773442
"09011690900","6909",5.46691639040903
"09011693500","6935",4.99839888518206
"09011693600","6936",5.08104190109662
"09011696800","6968",6.01855949792726
"09011697000","6970",5.73418145609375
"09011702300","7023",6.49282877626491
"09011702400","7024",6.24908964593109
"09011705400","7054",4.8804110523853
"09011716101","7161.01",4.85544345876223
"09011695202","6952.02",4.75483179483698
"09011711100","7111",4.81243191347432
"09011705200","7052",5.06007742196579
"09011701100","7011",4.8867686286661
"09011693300","6933",4.97125970081964
"09011714101","7141.01",4.69407021481099
"09011707100","7071",4.63148412964043
"09011701200","7012",5.22373555881022
"09011695201","6952.01",4.77182434938025
"09011650100","6501",5.04859194786206
"09011696600","6966",5.19334055140455
"09011693400","6934",4.92768903282381
