"GEOID","NAMELSAD","Particulate.Matter"
"36065980002","Census Tract 9800.02",6.20293669736453
"36065026400","Census Tract 264",6.21161610928384
"36065980003","Census Tract 9800.03",5.49251526528668
"36065024102","Census Tract 241.02",4.55016027675283
"36065024101","Census Tract 241.01",4.43144616339823
"36065026100","Census Tract 261",4.99085707454477
"36065026700","Census Tract 267",5.09190718697611
"36065020102","Census Tract 201.02",6.38820473955961
"36065026600","Census Tract 266",5.13269265089588
"36065020705","Census Tract 207.05",6.00000000000024
"36065026200","Census Tract 262",5.04523671561486
"36065023901","Census Tract 239.01",5.3492369041656
"36065023902","Census Tract 239.02",4.85956105750443
"36065024200","Census Tract 242",4.45615163478954
"36065023000","Census Tract 230",5.13902347365978
"36065024301","Census Tract 243.01",4.95053830524392
"36065023300","Census Tract 233",6.16735087453408
"36065023501","Census Tract 235.01",5.48482618954767
"36065025600","Census Tract 256",4.60682718698406
"36065025700","Census Tract 257",4.44648562057063
"36065025800","Census Tract 258",4.54129326480583
"36065024900","Census Tract 249",5.1010662361365
"36065025001","Census Tract 250.01",5.04294358376042
"36065025003","Census Tract 250.03",4.86899550799406
"36065025100","Census Tract 251",5.77964323895759
"36065025200","Census Tract 252",5.28997028603195
"36065025300","Census Tract 253",5.11039277541697
"36065025400","Census Tract 254",4.96322463144872
"36065025500","Census Tract 255",4.69804537190624
"36065023400","Census Tract 234",5.68181826222637
"36065022400","Census Tract 224",5.77244294745781
"36065022800","Census Tract 228",5.02363394805701
"36065024000","Census Tract 240",4.89062710561105
"36065024800","Census Tract 248",5.27673349411799
"36065025002","Census Tract 250.02",5.08952014204464
"36065020300","Census Tract 203",6.35984511032202
"36065021000","Census Tract 210",6.33011839609012
"36065021101","Census Tract 211.01",6.30595331017049
"36065021202","Census Tract 212.02",6.1999442584444
"36065021103","Census Tract 211.03",5.99755895695159
"36065021201","Census Tract 212.01",6.24686992469329
"36065021301","Census Tract 213.01",5.47113180630813
"36065021303","Census Tract 213.03",6.00104804053846
"36065021402","Census Tract 214.02",6.21188871704754
"36065021500","Census Tract 215",6.22475004090656
"36065021601","Census Tract 216.01",5.86487349296954
"36065021602","Census Tract 216.02",6.07217490085751
"36065026300","Census Tract 263",6.00323505671042
"36065023502","Census Tract 235.02",5.247381951995
"36065024400","Census Tract 244",4.50121734650206
"36065021102","Census Tract 211.02",6.27040974960094
"36065024302","Census Tract 243.02",4.76971111002774
"36065024700","Census Tract 247",5.26536146202903
"36065024303","Census Tract 243.03",4.43734671418398
"36065021302","Census Tract 213.02",6.22732317904732
"36065024500","Census Tract 245",4.68668231469663
"36065022200","Census Tract 222",5.64483303332095
"36065023702","Census Tract 237.02",4.69815923267725
"36065026500","Census Tract 265",6.03530599518271
"36065021401","Census Tract 214.01",6.11113358516224
"36065023200","Census Tract 232",6.00904128175332
"36065020802","Census Tract 208.02",6.19369791110704
"36065022702","Census Tract 227.02",4.92895998323204
"36065025900","Census Tract 259",4.99577576154062
"36065020900","Census Tract 209",6.36993089451379
"36065020803","Census Tract 208.03",6.38612442129525
"36065021701","Census Tract 217.01",5.63474865386814
"36065021702","Census Tract 217.02",6.05830016121863
"36065022500","Census Tract 225",5.86709136341065
"36065021900","Census Tract 219",5.57181096866255
"36065022000","Census Tract 220",5.40522334455411
"36065022100","Census Tract 221",5.43616458902091
"36065022701","Census Tract 227.01",5.10909053431648
"36065980100","Census Tract 9801",5.47792996200013
