"GEOID","NAMELSAD","Particulate.Matter"
"22071001747","Census Tract 17.47",7.5940400541762
"22071001750","Census Tract 17.50",7.74037374739438
"22071000800","Census Tract 8",7.89225241239183
"22071003600","Census Tract 36",8.27911393531318
"22071011400","Census Tract 114",8.06575226506855
"22071008600","Census Tract 86",8.10013221546353
"22071001748","Census Tract 17.48",7.69176874154826
"22071013600","Census Tract 136",8.19999980926503
"22071001745","Census Tract 17.45",7.49830623038254
"22071013400","Census Tract 134",8.16184579104293
"22071013700","Census Tract 137",8.18951666958206
"22071014200","Census Tract 142",7.99565441358452
"22071013800","Census Tract 138",8.20705999246975
"22071014100","Census Tract 141",7.98158623540643
"22071013900","Census Tract 139",8.10000038146973
"22071014400","Census Tract 144",8.01931043892959
"22071014300","Census Tract 143",8.10000038146972
"22071000904","Census Tract 9.04",8.1081613306432
"22071001100","Census Tract 11",8.14154489659706
"22071001302","Census Tract 13.02",8.15629621144476
"22071001401","Census Tract 14.01",8.15867470521373
"22071001402","Census Tract 14.02",8.12629040609656
"22071001500","Census Tract 15",8.19999980926517
"22071001600","Census Tract 16",8.19954639480736
"22071001701","Census Tract 17.01",8.27851036505846
"22071001702","Census Tract 17.02",8.25043192348108
"22071000617","Census Tract 6.17",6.42322324738522
"22071980100","Census Tract 9801",6.5042008524616
"22071001751","Census Tract 17.51",6.93142878703808
"22071001744","Census Tract 17.44",7.99784803116898
"22071004600","Census Tract 46",8.21073189691967
"22071000616","Census Tract 6.16",7.56597838092282
"22071000618","Census Tract 6.18",6.82224290780615
"22071014000","Census Tract 140",8.10000038146973
"22071007101","Census Tract 71.01",8.24506096499613
"22071013500","Census Tract 135",8.19999980926515
"22071001746","Census Tract 17.46",7.2469975357771
"22071001743","Census Tract 17.43",8.27631685593683
"22071000615","Census Tract 6.15",7.9724086820512
"22071001749","Census Tract 17.49",7.13897897914852
"22071014500","Census Tract 145",8.26936670060476
"22071000300","Census Tract 3",8.1627354318404
"22071000604","Census Tract 6.04",8.06261673251108
"22071009600","Census Tract 96",8.05489914502785
"22071004401","Census Tract 44.01",8.30000019073486
"22071000200","Census Tract 2",8.19999980926514
"22071000400","Census Tract 4",8.15507135242165
"22071000601","Census Tract 6.01",8.11465249370861
"22071000603","Census Tract 6.03",8.05023606322273
"22071005602","Census Tract 56.02",7.68905848082167
"22071006000","Census Tract 60",8.13950509757563
"22071006300","Census Tract 63",8.30000019073466
"22071006500","Census Tract 65",8.19999980926514
"22071005603","Census Tract 56.03",8.12028298023665
"22071005604","Census Tract 56.04",8.00000000000045
"22071013302","Census Tract 133.02",7.51723571342464
"22071008400","Census Tract 84",8.10000038146973
