"GEOID","NAMELSAD","Particulate.Matter"
"37139960400","Census Tract 9604",6.58999223970541
"37139960502","Census Tract 9605.02",6.09878781491056
"37139960503","Census Tract 9605.03",6.14578458810861
"37139960701","Census Tract 9607.01",6.11990126711859
"37139960702","Census Tract 9607.02",6.04515829030264
"37139960501","Census Tract 9605.01",6.10342368798531
"37139960200","Census Tract 9602",6.47689743320136
"37139960100","Census Tract 9601",6.83966830165911
"37139960600","Census Tract 9606",6.1207581034289
"37139960300","Census Tract 9603",6.79115662149498
