"GEOID","NAMELSAD","Particulate.Matter"
"29159480700","Census Tract 4807",7.02241179825423
"29159481000","Census Tract 4810",6.46101132587294
"29159480500","Census Tract 4805",6.46477045352492
"29159480400","Census Tract 4804",6.09273142776817
"29159480100","Census Tract 4801",5.85872912702999
"29159480300","Census Tract 4803",6.23139467431809
"29159480600","Census Tract 4806",6.5136824954339
"29159481100","Census Tract 4811",6.91323505134397
"29159480900","Census Tract 4809",7.84297245214139
"29159480200","Census Tract 4802",6.03655477417179
"29159480800","Census Tract 4808",7.88127590296671
