"GEOID","NAME","Particulate.Matter"
"20161980000","9800",4.79469912680343
"20161001002","10.02",5.04886406448313
"20161001301","13.01",5.80362698131948
"20161001100","11",6.22486007884419
"20161000700","7",6.71869396859242
"20161000802","8.02",6.66121720722658
"20161001302","13.02",4.94420052152708
"20161000200","2",5.64795015741874
"20161000900","9",5.19138944485311
"20161000500","5",6.54616954361825
"20161000801","8.01",7.06408468388419
"20161000600","6",5.59551146043799
"20161000304","3.04",7.02076666805277
"20161000303","3.03",6.9533511869012
