"GEOID","NAMELSAD","Particulate.Matter"
"17179021604","Census Tract 216.04",6.99868370181384
"17179021102","Census Tract 211.02",7.7197783677169
"17179021101","Census Tract 211.01",8.28267159123418
"17179020800","Census Tract 208",8.55107994130117
"17179021605","Census Tract 216.05",7.97586999086831
"17179021900","Census Tract 219",6.6414852285444
"17179022200","Census Tract 222",6.46698579361669
"17179022400","Census Tract 224",6.77223998145476
"17179020400","Census Tract 204",8.22387120866974
"17179021701","Census Tract 217.01",6.43914404212465
"17179021606","Census Tract 216.06",6.58803640488677
"17179020700","Census Tract 207",8.15658787826194
"17179021802","Census Tract 218.02",7.06595250444004
"17179021603","Census Tract 216.03",6.65068395941536
"17179020500","Census Tract 205",7.55254614312472
"17179021201","Census Tract 212.01",6.78895097450332
"17179022100","Census Tract 221",6.27525369817068
"17179021702","Census Tract 217.02",6.69909659136794
"17179022300","Census Tract 223",6.36518288469614
"17179020302","Census Tract 203.02",7.19673558400555
"17179021203","Census Tract 212.03",7.15741124506633
"17179022000","Census Tract 220",6.65448846173079
"17179021801","Census Tract 218.01",6.84240723345788
"17179021202","Census Tract 212.02",7.78272531312487
"17179020100","Census Tract 201",8.1324863515987
"17179020301","Census Tract 203.01",7.11705800844238
"17179021500","Census Tract 215",6.73608281723495
"17179020600","Census Tract 206",8.85474975779542
"17179021000","Census Tract 210",8.8627806038421
"17179020900","Census Tract 209",8.54858486596845
