"GEOID","NAMELSAD","Particulate.Matter"
"18173030703","Census Tract 307.03",9.46634984020388
"18173030600","Census Tract 306",9.25960978728411
"18173030300","Census Tract 303",8.95447591184089
"18173030800","Census Tract 308",9.38476005516578
"18173030200","Census Tract 302",8.29298210489972
"18173030702","Census Tract 307.02",9.37816379423876
"18173030100","Census Tract 301",8.46559983441338
"18173030500","Census Tract 305",9.1631052354241
"18173030400","Census Tract 304",9.10683742342891
"18173030705","Census Tract 307.05",9.35492224738359
"18173030704","Census Tract 307.04",9.46804709980056
