"GEOID","NAMELSAD","Particulate.Matter"
"12011110501","Census Tract 1105.01",7.19999980926525
"12011040701","Census Tract 407.01",6.56224448986929
"12011110331","Census Tract 1103.31",7.47149594788346
"12011010103","Census Tract 101.03",6.64621596649295
"12011020325","Census Tract 203.25",6.64528305318369
"12011110338","Census Tract 1103.38",7.49999999999998
"12011050206","Census Tract 502.06",7.13930337018311
"12011010503","Census Tract 105.03",7.53608735252758
"12011030904","Census Tract 309.04",7.20832030292064
"12011050311","Census Tract 503.11",6.80000019073486
"12011070317","Census Tract 703.17",7.80001747165765
"12011020212","Census Tract 202.12",6.48513364633327
"12011030201","Census Tract 302.01",6.8254680504774
"12011030203","Census Tract 302.03",6.70868218762551
"12011030202","Census Tract 302.02",6.9595457516209
"12011980000","Census Tract 9800",7.57856804292102
"12011050205","Census Tract 502.05",7.09658627661482
"12011050207","Census Tract 502.07",7.00741410792153
"12011010504","Census Tract 105.04",6.88760703075933
"12011020101","Census Tract 201.01",6.69807762271983
"12011030802","Census Tract 308.02",7.07795288570724
"12011040101","Census Tract 401.01",7.21875741993232
"12011043001","Census Tract 430.01",7.34498121832559
"12011050602","Census Tract 506.02",6.79708727382505
"12011050701","Census Tract 507.01",6.99307071692391
"12011050702","Census Tract 507.02",6.93516967829997
"12011050800","Census Tract 508",6.95964115117385
"12011060105","Census Tract 601.05",6.55092851709327
"12011060107","Census Tract 601.07",6.64680912264721
"12011060109","Census Tract 601.09",6.636361217809
"12011042800","Census Tract 428",6.82277034115958
"12011042900","Census Tract 429",6.90595380638472
"12011060302","Census Tract 603.02",6.82190340104039
"12011060304","Census Tract 603.04",6.9155742728642
"12011020210","Census Tract 202.10",6.80900100384284
"12011060127","Census Tract 601.27",6.5
"12011100101","Census Tract 1001.01",6.90872253090563
"12011110325","Census Tract 1103.25",7.42483147853391
"12011110328","Census Tract 1103.28",7.58032825062618
"12011110327","Census Tract 1103.27",7.663947797159
"12011110330","Census Tract 1103.30",7.44661845689618
"12011110332","Census Tract 1103.32",7.42532406306744
"12011050501","Census Tract 505.01",6.9645868771529
"12011050502","Census Tract 505.02",7.15309713999442
"12011060124","Census Tract 601.24",6.70146840271034
"12011060128","Census Tract 601.28",6.58498849659318
"12011060112","Census Tract 601.12",6.62176805847684
"12011060125","Census Tract 601.25",6.86124473228068
"12011010407","Census Tract 104.07",6.69595544556545
"12011060126","Census Tract 601.26",6.68073503932033
"12011090302","Census Tract 903.02",6.85251897112999
"12011091701","Census Tract 917.01",7.14155922433552
"12011100201","Census Tract 1002.01",7.0217689552714
"12011100802","Census Tract 1008.02",7.06936655582073
