"GEOID","NAMELSAD","Particulate.Matter"
"42031160101","Census Tract 1601.01",6.27869156293359
"42031160400","Census Tract 1604",6.85672532359681
"42031160300","Census Tract 1603",6.47188619049617
"42031160800","Census Tract 1608",7.06807155931087
"42031160500","Census Tract 1605",7.43734595451774
"42031160600","Census Tract 1606",7.03103881234955
"42031160900","Census Tract 1609",7.03551131091785
"42031160200","Census Tract 1602",6.36743528540328
"42031160700","Census Tract 1607",7.28197467255631
"42031160102","Census Tract 1601.02",6.55867112636879
