"GEOID","NAMELSAD","Particulate.Matter"
"55035001400","Census Tract 14",5.95550870344905
"55035000801","Census Tract 8.01",5.97328443859295
"55035000802","Census Tract 8.02",5.20410135398036
"55035000301","Census Tract 3.01",4.95353195196682
"55035000302","Census Tract 3.02",4.89222281376507
"55035000502","Census Tract 5.02",5.42757839844821
"55035001500","Census Tract 15",5.00591290223333
"55035000200","Census Tract 2",4.74927847094065
"55035001300","Census Tract 13",5.30724422901353
"55035001600","Census Tract 16",4.84086086018465
"55035000501","Census Tract 5.01",5.89493250832893
"55035000100","Census Tract 1",4.64183486287176
"55035000600","Census Tract 6",5.98243342466722
"55035000700","Census Tract 7",6.38425481402344
"55035000400","Census Tract 4",5.44896903142135
"55035001200","Census Tract 12",6.54258825559192
"55035000803","Census Tract 8.03",5.78827407438249
"55035000900","Census Tract 9",6.02011214022999
"55035001101","Census Tract 11.01",6.49755410989011
"55035001700","Census Tract 17",6.46620939154192
