"GEOID","NAMELSAD","Particulate.Matter"
"35025001004","Census Tract 10.04",4.33150986236743
"35025000502","Census Tract 5.02",4.92267857296717
"35025000600","Census Tract 6",5.21757326036099
"35025001003","Census Tract 10.03",4.66226224354792
"35025000703","Census Tract 7.03",4.60478608962357
"35025000200","Census Tract 2",5.05170033929962
"35025000400","Census Tract 4",5.21696044746095
"35025001100","Census Tract 11",4.05969999227993
"35025000100","Census Tract 1",6.62863161930748
"35025000900","Census Tract 9",4.25799775658126
"35025000800","Census Tract 8",4.48087498332476
"35025000300","Census Tract 3",5.00665904250102
"35025000702","Census Tract 7.02",4.32405996262104
"35025000701","Census Tract 7.01",4.55762346224479
"35025000504","Census Tract 5.04",4.89752705903088
"35025001005","Census Tract 10.05",4.49847046767785
"35025000503","Census Tract 5.03",5.32806419325988
"35025000704","Census Tract 7.04",4.54175173338701
