"GEOID","NAMELSAD","Particulate.Matter"
"26121002900","Census Tract 29",5.6666784952945
"26121003100","Census Tract 31",5.55094132465563
"26121003800","Census Tract 38",5.40338691579518
"26121003200","Census Tract 32",5.61839646848211
"26121000100","Census Tract 1",6.75112257267336
"26121000601","Census Tract 6.01",7.48329454714349
"26121000800","Census Tract 8",6.5059641004196
"26121000900","Census Tract 9",6.61886245816699
"26121001000","Census Tract 10",6.10578367400234
"26121001200","Census Tract 12",7.38469737542075
"26121001300","Census Tract 13",6.81963792673638
"26121004200","Census Tract 42",6.43063883165428
"26121001500","Census Tract 15",5.82641957388006
"26121001600","Census Tract 16",5.55972237853086
"26121001700","Census Tract 17",5.40615366090989
"26121001901","Census Tract 19.01",5.87712768959921
"26121001902","Census Tract 19.02",6.61599514197976
"26121002000","Census Tract 20",6.17869912348181
"26121002100","Census Tract 21",7.46505421106935
"26121004000","Census Tract 40",5.10856611626942
"26121000500","Census Tract 5",7.16105036398377
"26121003600","Census Tract 36",5.30315490518882
"26121000402","Census Tract 4.02",6.32719724940544
"26121003900","Census Tract 39",5.27325319983409
"26121000401","Census Tract 4.01",7.00477937338014
"26121004300","Census Tract 43",6.93241782744368
"26121003700","Census Tract 37",5.49460327390053
"26121001800","Census Tract 18",5.55375806937231
"26121003300","Census Tract 33",5.50837646956197
"26121002200","Census Tract 22",7.45988262065048
"26121003400","Census Tract 34",5.33801144389345
"26121003500","Census Tract 35",5.36131837907922
"26121000300","Census Tract 3",7.04448734941864
"26121002300","Census Tract 23",6.26834962740353
"26121002400","Census Tract 24",6.78869478129266
"26121002500","Census Tract 25",5.96384057407765
"26121002601","Census Tract 26.01",6.17555644502408
"26121002602","Census Tract 26.02",5.58134913850317
"26121002700","Census Tract 27",5.72748572124575
"26121001402","Census Tract 14.02",7.10542081632658
"26121002800","Census Tract 28",5.65497017155765
"26121003000","Census Tract 30",5.81040860959235
