"GEOID","NAMELSAD","Particulate.Matter"
"42099030202","Census Tract 302.02",7.87182195384003
"42099030201","Census Tract 302.01",8.02105938770591
"42099030501","Census Tract 305.01",7.85047037545423
"42099030302","Census Tract 303.02",8.18273912943391
"42099030301","Census Tract 303.01",8.19196233154793
"42099030400","Census Tract 304",7.89127630088466
"42099030100","Census Tract 301",7.7074922624863
"42099030602","Census Tract 306.02",6.66807672047991
"42099030502","Census Tract 305.02",7.45353400049002
"42099030601","Census Tract 306.01",7.09763579897692
