"GEOID","NAMELSAD","Particulate.Matter"
"06075025200","Census Tract 252",7.70051218497126
"06075025300","Census Tract 253",7.64793399850168
"06075025402","Census Tract 254.02",7.71694323048311
"06075025500","Census Tract 255",7.46771881281736
"06075025600","Census Tract 256",7.52940359216378
"06075025800","Census Tract 258",7.7907485184137
"06075025900","Census Tract 259",7.67209003855375
"06075026002","Census Tract 260.02",7.50000000000006
"06075026004","Census Tract 260.04",7.41049730483869
"06075020500","Census Tract 205",7.53667449379448
"06075061000","Census Tract 610",7.10492277707258
"06075026100","Census Tract 261",7.41465686263849
"06075026200","Census Tract 262",7.32916178099441
"06075060400","Census Tract 604",5.74624194748734
"06075026301","Census Tract 263.01",7.40000009536743
"06075026302","Census Tract 263.02",7.18509779242651
"06075020401","Census Tract 204.01",7.33930203203959
"06075026303","Census Tract 263.03",6.72935337005657
"06075026401","Census Tract 264.01",7.57274097119072
"06075026402","Census Tract 264.02",7.71007055472602
"06075026403","Census Tract 264.03",7.70056307366227
"06075030101","Census Tract 301.01",7.29690311424277
"06075030102","Census Tract 301.02",7.28655488057344
"06075030201","Census Tract 302.01",7.1032748118138
"06075030301","Census Tract 303.01",7.37551319055347
"06075030302","Census Tract 303.02",7.43911521023195
"06075030400","Census Tract 304",7.36249498249665
"06075060700","Census Tract 607",6.86942614778777
"06075030500","Census Tract 305",7.17135431422467
"06075030600","Census Tract 306",7.13786152991017
"06075030700","Census Tract 307",7.31156060208496
"06075030800","Census Tract 308",7.46560696334729
"06075020402","Census Tract 204.02",7.21787236292431
"06075061500","Census Tract 615",6.00193519585906
"06075061400","Census Tract 614",7.89868954505006
"06075980900","Census Tract 9809",6.76573355550645
"06075017102","Census Tract 171.02",7.4387100463926
"06075012302","Census Tract 123.02",7.76598122099847
"06075016801","Census Tract 168.01",7.66282859831383
"06075011902","Census Tract 119.02",6.91551193378953
"06075012201","Census Tract 122.01",7.80000019073429
"06075012202","Census Tract 122.02",7.72138883747667
"06075012402","Census Tract 124.02",7.78418137608487
"06075012601","Census Tract 126.01",6.43867767586632
"06075012602","Census Tract 126.02",6.70389535744426
"06075012902","Census Tract 129.02",7.09692148728917
"06075013101","Census Tract 131.01",7.69999980926528
"06075013102","Census Tract 131.02",7.69674582638887
"06075015801","Census Tract 158.01",7.5983238404983
"06075016802","Census Tract 168.02",7.69831685734314
"06075017101","Census Tract 171.01",7.49999999999972
"06075017801","Census Tract 178.01",7.14477466166839
"06075017802","Census Tract 178.02",7.84590596028593
"06075022704","Census Tract 227.04",7.87252222405525
"06075025701","Census Tract 257.01",7.74042024818461
"06075025702","Census Tract 257.02",7.82273924788803
"06075031201","Census Tract 312.01",7.38599658178588
"06075031202","Census Tract 312.02",7.40000009536752
"06075032602","Census Tract 326.02",7.39235167043335
"06075032801","Census Tract 328.01",7.55187300487022
"06075032802","Census Tract 328.02",7.56785512371352
"06075032901","Census Tract 329.01",7.65203839571408
"06075033203","Census Tract 332.03",7.1639266723287
"06075033204","Census Tract 332.04",7.28810448718774
"06075042601","Census Tract 426.01",6.68335916985449
"06075042602","Census Tract 426.02",6.900000095367
"06075047801","Census Tract 478.01",6.95890479745797
"06075061100","Census Tract 611",6.40000009536899
"06075061200","Census Tract 612",7.71313536860781
"06075980300","Census Tract 9803",6.7118758405476
"06075012502","Census Tract 125.02",7.80000019073429
"06075980200","Census Tract 9802",5.73685472979319
"06075023102","Census Tract 231.02",7.96095902539109
"06075023200","Census Tract 232",7.98143274440157
