"GEOID","NAMELSAD","Particulate.Matter"
"53063010303","Census Tract 103.03",3.40668116987547
"53063012901","Census Tract 129.01",6.21601668299636
"53063012902","Census Tract 129.02",5.77405749050747
"53063012802","Census Tract 128.02",5.52082028183392
"53063004200","Census Tract 42",4.22774308748662
"53063004300","Census Tract 43",4.2742151049922
"53063012401","Census Tract 124.01",4.13291908070133
"53063010504","Census Tract 105.04",5.45638498934394
"53063011202","Census Tract 112.02",3.80025180385421
"53063005000","Census Tract 50",3.65180521617284
"53063010301","Census Tract 103.01",3.58083032349553
"53063013600","Census Tract 136",3.4063179329848
"53063003100","Census Tract 31",5.13055282575914
"53063010202","Census Tract 102.02",3.33033580298467
"53063011201","Census Tract 112.01",4.74651181904304
"53063014002","Census Tract 140.02",2.84379343063915
"53063013000","Census Tract 130",4.83101906837391
"53063010501","Census Tract 105.01",4.97351085917654
"53063010201","Census Tract 102.01",3.26951786278723
"53063010305","Census Tract 103.05",4.10509622387384
"53063010100","Census Tract 101",2.28781421671441
"53063012200","Census Tract 122",5.87483935064177
"53063000900","Census Tract 9",6.20508164677245
"53063002300","Census Tract 23",5.6191792537543
"53063002400","Census Tract 24",6.60571111382095
"53063001100","Census Tract 11",6.39298138704747
"53063001200","Census Tract 12",6.59584156026388
"53063001300","Census Tract 13",6.55252245373195
"53063001600","Census Tract 16",6.3969963090013
"53063010503","Census Tract 105.03",3.92946460231034
"53063013700","Census Tract 137",3.70169625086207
"53063003600","Census Tract 36",5.17312143471829
"53063011300","Census Tract 113",4.28005467005985
"53063013300","Census Tract 133",2.33457435110347
"53063013202","Census Tract 132.02",3.40593069285748
"53063012402","Census Tract 124.02",3.14246356920909
"53063012300","Census Tract 123",4.75995536866454
"53063014200","Census Tract 142",2.49148701166711
"53063000300","Census Tract 3",6.29510112232433
"53063001000","Census Tract 10",5.16438998162795
"53063011400","Census Tract 114",5.32309156956014
"53063010900","Census Tract 109",5.53380322359412
"53063003900","Census Tract 39",4.54060724125796
"53063014100","Census Tract 141",2.76418825064822
"53063013500","Census Tract 135",2.91905113521835
"53063013401","Census Tract 134.01",3.14318415016461
"53063010304","Census Tract 103.04",3.50948441359317
"53063014300","Census Tract 143",2.6751766805756
"53063013201","Census Tract 132.01",4.00446435124269
"53063003800","Census Tract 38",4.10683439556092
"53063004900","Census Tract 49",4.76782392307379
"53063010402","Census Tract 104.02",3.31717068517081
"53063002600","Census Tract 26",6.46692716043834
"53063002900","Census Tract 29",5.13328407721849
"53063003200","Census Tract 32",5.91849122564702
"53063003500","Census Tract 35",6.41383409742753
"53063001800","Census Tract 18",6.4370159868578
"53063001900","Census Tract 19",6.68427272256071
"53063002000","Census Tract 20",6.50126442971002
"53063002100","Census Tract 21",5.91303513348299
"53063000200","Census Tract 2",6.03726538050956
"53063013800","Census Tract 138",3.6167193574633
"53063014001","Census Tract 140.01",3.75992904720392
"53063003000","Census Tract 30",5.71501432104089
"53063013900","Census Tract 139",3.09538396799744
"53063011600","Census Tract 116",6.26501502880408
"53063002500","Census Tract 25",6.53301273322931
"53063011500","Census Tract 115",5.56356640344669
"53063011701","Census Tract 117.01",6.34827051483151
"53063004601","Census Tract 46.01",4.52132550968041
"53063011000","Census Tract 110",6.36951150421332
"53063001400","Census Tract 14",6.48462353129246
"53063000800","Census Tract 8",6.06461261088257
"53063004700","Census Tract 47",5.38674598569156
"53063004500","Census Tract 45",3.97932057125571
"53063001500","Census Tract 15",6.41772967314306
"53063013100","Census Tract 131",4.78565123899059
"53063011800","Census Tract 118",6.35217004643343
"53063011900","Census Tract 119",6.10266356808306
"53063012000","Census Tract 120",6.17382591522252
"53063012100","Census Tract 121",6.02000649687984
"53063000400","Census Tract 4",6.40773230824066
"53063000500","Census Tract 5",6.5
"53063000600","Census Tract 6",6.5
"53063000700","Census Tract 7",6.43468573523403
"53063004000","Census Tract 40",6.00997269573011
"53063004100","Census Tract 41",5.63885636383403
"53063004400","Census Tract 44",4.45532340799485
"53063004602","Census Tract 46.02",4.74215953151986
"53063004800","Census Tract 48",5.36473295161042
"53063011702","Census Tract 117.02",5.89245602746294
"53063014400","Census Tract 144",5.35200100979188
"53063014500","Census Tract 145",6.35532270610522
"53063010601","Census Tract 106.01",4.76361483202835
"53063010602","Census Tract 106.02",5.27076928409074
"53063010401","Census Tract 104.01",3.28401343821377
"53063010700","Census Tract 107",4.34584624270688
"53063010800","Census Tract 108",5.12759318983826
"53063011101","Census Tract 111.01",6.13632384274992
"53063011102","Census Tract 111.02",5.36363915654031
"53063012500","Census Tract 125",5.01524950926076
"53063012600","Census Tract 126",6.044544389084
"53063012701","Census Tract 127.01",6.51408522834776
"53063012702","Census Tract 127.02",5.63710203497107
"53063012801","Census Tract 128.01",5.79769980136403
