"GEOID","NAMELSAD","Particulate.Matter"
"06113010508","Census Tract 105.08",6.28359283763565
"06113010402","Census Tract 104.02",6.72658222239776
"06113010310","Census Tract 103.10",7.06896357714289
"06113010312","Census Tract 103.12",7.72765706241824
"06113010401","Census Tract 104.01",6.55062024143544
"06113010302","Census Tract 103.02",7.52217992161303
"06113011206","Census Tract 112.06",6.11646072788266
"06113010102","Census Tract 101.02",6.81781072152136
"06113011102","Census Tract 111.02",7.72288768146049
"06113010501","Census Tract 105.01",6.38470162052772
"06113010505","Census Tract 105.05",6.16291903590823
"06113011300","Census Tract 113",4.42916635446119
"06113011500","Census Tract 115",3.92309453852764
"06113011400","Census Tract 114",5.60690952780624
"06113010101","Census Tract 101.01",8.64736763175357
"06113010511","Census Tract 105.11",7.51374978560334
"06113010512","Census Tract 105.12",7.78052414937777
"06113010513","Census Tract 105.13",7.11256701959892
"06113010902","Census Tract 109.02",7.50452866576528
"06113011001","Census Tract 110.01",7.58988347921403
"06113011002","Census Tract 110.02",7.63775563900073
"06113011101","Census Tract 111.01",7.77532199562891
"06113011103","Census Tract 111.03",7.61649488852638
"06113010201","Census Tract 102.01",8.74041114386701
"06113011203","Census Tract 112.03",7.03652389339204
"06113011204","Census Tract 112.04",7.04093623849566
"06113010203","Census Tract 102.03",7.91184842925663
"06113010204","Census Tract 102.04",8.78707674687953
"06113011205","Census Tract 112.05",7.63255617842819
"06113010509","Census Tract 105.09",7.91131193078165
"06113010510","Census Tract 105.10",6.77191119374402
"06113010602","Census Tract 106.02",7.90330535442491
"06113010605","Census Tract 106.05",7.7910740516021
"06113010606","Census Tract 106.06",7.79457926922455
"06113010607","Census Tract 106.07",7.41206181870369
"06113010701","Census Tract 107.01",8.03882433012058
"06113010703","Census Tract 107.03",8.02055095660194
"06113010704","Census Tract 107.04",8.02515143862943
"06113010800","Census Tract 108",7.78335719442567
"06113010901","Census Tract 109.01",7.17397073384208
"06113010608","Census Tract 106.08",7.7611204565228
