"GEOID","NAME","Particulate.Matter"
"08059010901","109.01",7.84979929143745
"08059010902","109.02",8.02567880486324
"08059011000","110",8.2660887339957
"08059011100","111",8.27391874944492
"08059011202","112.02",8.20711355044694
"08059011300","113",8.4118876414572
"08059011550","115.50",8.49293464667348
"08059011601","116.01",8.47368016000456
"08059011602","116.02",8.39476263258678
"08059011701","117.01",8.08505711017692
"08059011708","117.08",7.88822539090396
"08059011709","117.09",7.83580180158379
"08059011710","117.10",7.95644674560285
"08059011711","117.11",7.73260917293701
"08059011712","117.12",7.43800126992338
"08059011720","117.20",6.19711482402447
"08059011721","117.21",7.66452631721889
"08059011724","117.24",5.92471266892464
"08059011725","117.25",7.14319185021957
"08059011726","117.26",7.67325201555182
"08059011727","117.27",8.00646060437252
"08059980400","9804",7.65136122811906
"08059011728","117.28",7.98486661954463
"08059011729","117.29",7.98292285484406
"08059011730","117.30",7.91726527671652
"08059011731","117.31",6.32594193172452
"08059011803","118.03",8.1917937665322
"08059011804","118.04",8.15953730664664
"08059011951","119.51",8.10390687170391
"08059012023","120.23",7.76391506609852
"08059012024","120.24",6.35271143607861
"08059012038","120.38",6.76224521189329
"08059012039","120.39",7.26772908931581
"08059012041","120.41",7.51875415464638
"08059012043","120.43",6.83281589635351
"08059012046","120.46",7.79998680486707
"08059012047","120.47",7.7992961913961
"08059012048","120.48",7.93145416085937
"08059012049","120.49",7.99999999999998
"08059012051","120.51",7.8947294223683
"08059012053","120.53",7.27291265159985
"08059012054","120.54",7.81472502848938
"08059012044","120.44",6.27172522248524
"08059012055","120.55",7.55439773978616
"08059012057","120.57",6.81398954080754
"08059009900","99",7.19678033780581
"08059012026","120.26",5.26858947027329
"08059012036","120.36",5.33164577208154
"08059011904","119.04",7.85430439810743
"08059009847","98.47",5.39611791660821
"08059012034","120.34",5.83480685785729
"08059009837","98.37",5.73210597797211
"08059009828","98.28",7.78495074786809
"08059012058","120.58",4.35128289425882
"08059012027","120.27",5.51700823473208
"08059010403","104.03",8.21237970186134
"08059012050","120.50",7.67416917746044
"08059010603","106.03",8.32400145520006
"08059012045","120.45",7.52879099515306
"08059012030","120.30",4.82113747430005
"08059012035","120.35",5.71415692755576
"08059009841","98.41",7.95894176986186
"08059009815","98.15",6.85808187833208
"08059011702","117.02",8.04512694860544
"08059060500","605",5.67380675183384
"08059010701","107.01",8.32983604295604
"08059012032","120.32",4.97075221502021
"08059009846","98.46",5.35827260969094
"08059009845","98.45",5.54338717078492
"08059009848","98.48",4.97740897140444
"08059009806","98.06",7.63275479726081
"08059009808","98.08",4.90677131409127
"08059980000","9800",7.94563891279653
"08059009829","98.29",6.00934996649555
"08059010306","103.06",8.07492046739375
"08059012033","120.33",4.96998095671731
"08059012022","120.22",6.79251900881432
"08059011723","117.23",7.70653127173065
"08059009840","98.40",7.85410562085862
"08059009843","98.43",6.6218780041365
"08059012031","120.31",4.44940100989488
"08059012037","120.37",4.02305220643894
"08059012042","120.42",7.65110992893796
"08059009839","98.39",7.26432751395484
"08059009842","98.42",7.18118907814374
"08059010000","100",7.33877247154358
"08059010100","101",7.34963761618577
"08059010205","102.05",7.97454622819659
"08059012052","120.52",7.91045661652618
"08059009807","98.07",7.89952497550533
"08059060400","604",7.17781552154972
"08059009827","98.27",7.24970111379691
"08059009830","98.30",7.96914660839663
"08059010206","102.06",8.00426012512176
"08059010208","102.08",8.07140970550515
"08059010209","102.09",8.10541878194984
"08059010210","102.10",8.0275477754785
"08059010211","102.11",8.06337416403087
"08059010212","102.12",8.08038077631782
"08059010213","102.13",8.19535849870161
"08059010303","103.03",7.99165889405159
"08059009831","98.31",8.09497845343877
"08059009832","98.32",8.10000038146973
"08059009833","98.33",8.10000038146971
"08059009834","98.34",8.05365387338426
"08059009835","98.35",7.91903698402021
"08059009836","98.36",6.68605182609204
"08059010304","103.04",7.95973262361341
"08059010305","103.05",8.09386586551697
"08059010307","103.07",8.05745023787225
"08059010308","103.08",8.1243891775353
"08059010402","104.02",8.17686727359154
"08059010405","104.05",8.19402305775905
"08059010406","104.06",8.23363025710994
"08059009838","98.38",6.44719354922997
"08059010502","105.02",8.25223975902058
"08059010503","105.03",8.16375814733613
"08059010504","105.04",8.1009488572915
"08059010604","106.04",8.28428923063142
"08059010702","107.02",8.37438335236086
"08059010801","108.01",8.07976728631775
"08059009849","98.49",6.44384861561133
"08059009852","98.52",7.91236063864332
"08059009850","98.50",5.44507589085013
"08059011402","114.02",8.38887429877494
"08059012059","120.59",7.76352767660085
"08059009851","98.51",7.48655406264682
"08059015900","159",7.35007932379773
"08059011732","117.32",7.7730867688509
"08059011733","117.33",7.76030313912923
"08059011806","118.06",8.27421031819682
"08059011805","118.05",8.29487897509251
"08059012060","120.60",7.59196492529062
"08059011401","114.01",8.45247963959082
"08059015800","158",8.05356397623454
"08059060300","603",7.22808244851546
"08059009823","98.23",7.20197836512404
"08059009824","98.24",7.2974206924527
