"GEOID","NAME","Particulate.Matter"
"01103000200","2",8.73002244460874
"01103005101","51.01",7.91359108051683
"01103005105","51.05",7.75541846225214
"01103005600","56",7.09510546391334
"01103005500","55",7.43115209235881
"01103005405","54.05",7.53543377315206
"01103000300","3",9.22594537069109
"01103000400","4",9.37740793821444
"01103000600","6",9.14949848825794
"01103000700","7",9.12509646314586
"01103000800","8",9.56281790907378
"01103000900","9",9.46508260542235
"01103001000","10",9.48486409066453
"01103005303","53.03",8.15730987490866
"01103005109","51.09",8.7093052871678
"01103005108","51.08",8.81438008022472
"01103005106","51.06",8.37199204880298
"01103005107","51.07",7.54768185666426
"01103005702","57.02",7.49062773284832
"01103005701","57.01",6.94299385659008
"01103005302","53.02",7.61617927512634
"01103005304","53.04",7.75836911828041
"01103000100","1",9.40436730063826
"01103005103","51.03",7.85592841356511
"01103005301","53.01",7.80795910129697
"01103005404","54.04",8.09065294960999
"01103005200","52",7.18837080911271
