"GEOID","NAME","Particulate.Matter"
"20173007301","73.01",7.17370949148137
"20173007302","73.02",7.23924311558911
"20173007400","74",7.30041236117081
"20173007600","76",7.16449351017299
"20173008000","80",6.35855124268337
"20173008200","82",7.26572283984436
"20173007800","78",6.95663386459361
"20173008300","83",6.98602752899912
"20173008400","84",7.26505057586427
"20173008500","85",7.31065004923463
"20173008600","86",7.27491936218543
"20173008700","87",7.40327640375891
"20173008900","89",7.51910074394429
"20173009100","91",7.05065226513372
"20173009200","92",6.98815698471253
"20173009302","93.02",7.66562934851506
"20173009401","94.01",7.5937510700778
"20173006600","66",6.39232907518097
"20173006700","67",6.80717114693976
"20173010001","100.01",6.51235460439391
"20173009802","98.02",6.91067724571423
"20173010002","100.02",6.38702825082196
"20173007700","77",6.8137442365063
"20173008800","88",7.44530130298146
"20173010003","100.03",6.32866701648044
"20173010005","100.05",6.47804691054777
"20173010106","101.06",6.22445250758396
"20173010108","101.08",6.52423915667399
"20173010109","101.09",6.94418142688416
"20173010200","102",5.67773055724565
"20173009503","95.03",6.72041525675636
"20173010400","104",5.6500420309052
"20173010500","105",5.8875657917778
"20173003400","34",7.30000019073486
"20173010107","101.07",6.99161693646632
"20173009505","95.05",7.53242244400893
"20173009507","95.07",6.13471078064339
"20173009508","95.08",6.03084756461905
"20173009504","95.04",7.45606884067711
"20173009509","95.09",6.11670972909714
"20173009510","95.10",6.58490570600591
"20173009511","95.11",6.85924143000172
"20173005800","58",6.56812291983822
"20173006000","60",7.27678481637322
"20173006100","61",7.05930598987077
"20173006300","63",7.20198661557112
"20173006400","64",7.12205192233825
"20173006800","68",7.10425764505513
"20173007000","70",7.2411478855173
"20173007201","72.01",6.52951219441314
"20173003000","30",7.42624368038716
"20173006900","69",7.26403166721405
"20173000600","6",7.39973500190925
"20173009402","94.02",7.57222797075812
"20173006200","62",7.20084108608573
"20173009513","95.13",7.43279207480398
"20173005300","53",7.39156122841951
"20173005400","54",6.71017593813032
"20173005501","55.01",7.03595400655759
"20173005502","55.02",6.76189358723566
"20173005600","56",6.74643269304569
"20173005700","57",7.33615987973185
"20173002100","21",7.2880832603578
"20173002200","22",7.30000019073486
"20173002300","23",7.30000019073486
"20173002400","24",7.30000019073486
"20173002600","26",7.30000019073489
"20173002700","27",7.35511065845575
"20173002800","28",7.43423734276355
"20173002900","29",7.45398771089498
"20173003100","31",7.39279910851629
"20173003200","32",7.33454304538729
"20173003500","35",7.30000019073486
"20173003600","36",7.30000019073486
"20173003700","37",7.22224540510278
"20173003800","38",7.24711233089053
"20173003900","39",7.28043946897518
"20173004000","40",7.30388275463566
"20173004300","43",7.31030406935612
"20173005100","51",7.3229602258156
"20173005200","52",7.39890877105104
"20173009605","96.05",6.28346170634024
"20173010113","101.13",5.92765910667439
"20173005900","59",7.18453123479832
"20173009700","97",6.4539567609689
"20173001000","10",7.30000019073476
"20173001100","11",7.30178191521565
"20173001400","14",7.36226871349134
"20173001500","15",7.40049287074261
"20173001800","18",7.30203931953909
"20173009900","99",6.45840563680002
"20173010300","103",6.11495167847802
"20173009512","95.12",7.46546656769076
"20173008100","81",6.4600995832765
"20173001900","19",7.30000019073486
"20173009000","90",7.49435896036386
"20173010110","101.10",7.05737808523098
"20173007500","75",7.11845001662435
"20173006500","65",7.00515483350495
"20173010600","106",5.92723556093473
"20173010004","100.04",6.06443896079751
"20173009801","98.01",6.87447687105758
"20173002000","20",7.30000019073486
"20173009301","93.01",7.46266957787789
"20173009506","95.06",7.4715717298181
"20173010700","107",6.17448234050068
"20173000100","1",7.36850183407486
"20173000200","2",7.33343825756336
"20173000300","3",7.38260145065266
"20173000400","4",7.33830275570411
"20173000700","7",7.35163847468539
"20173000800","8",7.30467592214127
"20173000900","9",7.19232351994178
"20173010802","108.02",6.42927613360935
"20173010116","101.16",5.66256270802722
"20173009604","96.04",6.2877638922493
"20173007204","72.04",6.63154217673311
"20173007102","71.02",7.35408108618637
"20173010801","108.01",6.56661339970724
"20173009603","96.03",6.80713568841234
"20173007101","71.01",7.39090903136528
"20173007203","72.03",6.76935194203602
"20173010115","101.15",5.99125194006918
"20173010111","101.11",6.33722790385401
