"GEOID","NAMELSAD","Particulate.Matter"
"51177020105","Census Tract 201.05",6.0864423295731
"51177020204","Census Tract 202.04",7.1696161592735
"51177020203","Census Tract 202.03",6.82794621112471
"51177020304","Census Tract 203.04",6.85333529388134
"51177020107","Census Tract 201.07",6.81812336206875
"51177020111","Census Tract 201.11",6.65649082953387
"51177020108","Census Tract 201.08",6.8709480699946
"51177020310","Census Tract 203.10",6.37264345505619
"51177020109","Census Tract 201.09",6.80116686024505
"51177020407","Census Tract 204.07",5.97850371691062
"51177020408","Census Tract 204.08",5.98726530678463
"51177020309","Census Tract 203.09",6.65764688894566
"51177020305","Census Tract 203.05",7.21157515651865
"51177020202","Census Tract 202.02",7.02717335585498
"51177020405","Census Tract 204.05",6.08472580438081
"51177020307","Census Tract 203.07",6.54029532560179
"51177020306","Census Tract 203.06",6.77426019693244
"51177020113","Census Tract 201.13",6.25966035093172
"51177020114","Census Tract 201.14",6.34721760028348
"51177020112","Census Tract 201.12",6.54796822005802
"51177020110","Census Tract 201.10",6.59452625788047
"51177020308","Census Tract 203.08",6.4589608974363
"51177020311","Census Tract 203.11",6.27911786147627
"51177020403","Census Tract 204.03",6.14154888014698
"51177020406","Census Tract 204.06",6.04481076507053
"51177020404","Census Tract 204.04",6.04624007645173
"51177020201","Census Tract 202.01",6.92122317334577
"51177020205","Census Tract 202.05",6.50192653877803
"51177020106","Census Tract 201.06",6.40951039404711
"51177020104","Census Tract 201.04",6.14231703430986
