"GEOID","NAMELSAD","Particulate.Matter"
"22103041103","Census Tract 411.03",7.49091787946876
"22103040604","Census Tract 406.04",7.41640955313914
"22103040709","Census Tract 407.09",8.00567726638337
"22103040802","Census Tract 408.02",8.19685245461644
"22103040201","Census Tract 402.01",7.10269292164246
"22103040708","Census Tract 407.08",7.08285848253216
"22103040202","Census Tract 402.02",7.03970138339708
"22103041101","Census Tract 411.01",7.07671377427318
"22103040602","Census Tract 406.02",7.64208979422909
"22103040303","Census Tract 403.03",7.31373272641507
"22103041204","Census Tract 412.04",7.10498189032608
"22103040705","Census Tract 407.05",7.41212877590209
"22103040701","Census Tract 407.01",7.13107044555218
"22103040900","Census Tract 409",7.84500630531203
"22103040501","Census Tract 405.01",7.76155261023673
"22103040601","Census Tract 406.01",7.52880659868267
"22103041004","Census Tract 410.04",7.91154462815398
"22103041104","Census Tract 411.04",7.3941553876227
"22103040102","Census Tract 401.02",7.01815633401647
"22103040400","Census Tract 404",7.6110497960793
"22103040502","Census Tract 405.02",7.36769714801657
"22103040704","Census Tract 407.04",7.11306512203016
"22103040801","Census Tract 408.01",7.88365739592791
"22103041002","Census Tract 410.02",8.29332453540779
"22103041003","Census Tract 410.03",8.17721959956587
"22103041202","Census Tract 412.02",7.02314147283534
"22103041300","Census Tract 413",7.12634441033036
"22103040304","Census Tract 403.04",7.51981423565083
"22103040706","Census Tract 407.06",7.14173401040956
"22103041102","Census Tract 411.02",7.28226159194343
"22103040104","Census Tract 401.04",7.05246628183866
"22103040103","Census Tract 401.03",6.97908567393664
"22103040605","Census Tract 406.05",7.57389900948115
"22103041212","Census Tract 412.12",6.9708680087546
"22103041208","Census Tract 412.08",7.48556130033556
"22103041209","Census Tract 412.09",7.18545986576685
"22103041211","Census Tract 412.11",6.97035429965389
"22103040710","Census Tract 407.10",7.8058267581495
"22103040803","Census Tract 408.03",7.3547397099022
"22103041207","Census Tract 412.07",7.31386644559452
"22103040305","Census Tract 403.05",7.50291236047839
"22103041210","Census Tract 412.10",7.0606597760297
