"GEOID","NAMELSAD","Particulate.Matter"
"47065","Hamilton County",7.42049147195117
"47115","Marion County",6.37423905347557
"47185","White County",6.46785746972211
"47129","Morgan County",5.75499693647277
"47013","Campbell County",5.65319840923253
"47123","Monroe County",6.35099444471263
"47149","Rutherford County",7.35232402451205
"47159","Smith County",6.84667415062487
"47169","Trousdale County",7.10292223111465
"47165","Sumner County",7.40628797670337
"47061","Grundy County",5.54417179725057
"47003","Bedford County",6.98146703057947
"47027","Clay County",6.55400974468725
"47097","Lauderdale County",7.90225057764786
"47105","Loudon County",6.88151139925523
"47041","DeKalb County",6.88696242507263
"47081","Hickman County",6.88565198412447
"47141","Putnam County",6.41296286735532
"47177","Warren County",6.47176670290803
"47095","Lake County",8.01664673867934
"47089","Jefferson County",7.10572494436454
"47075","Haywood County",7.9784010073477
"47099","Lawrence County",6.72706645591943
"47073","Hawkins County",6.37714900120314
"47173","Union County",6.24195212197176
"47009","Blount County",6.36826881914206
"47023","Chester County",6.84586121278397
"47087","Jackson County",6.58186678887013
"47127","Moore County",6.82816035679793
"47163","Sullivan County",6.24298061156711
"47019","Carter County",5.08221073348634
"47179","Washington County",6.32051198284643
"47161","Stewart County",7.33083689605543
"47111","Macon County",6.68691557599041
"47069","Hardeman County",7.03229811080071
"47017","Carroll County",7.38731201701776
"47181","Wayne County",6.75033922173536
"47107","McMinn County",7.28875867306879
"47175","Van Buren County",5.74447162540183
"47083","Houston County",7.21453335686783
"47055","Giles County",6.88949204511119
"47085","Humphreys County",7.20803446690044
"47153","Sequatchie County",5.64138076504625
"47145","Roane County",7.32090036124832
"47125","Montgomery County",7.86358346163513
"47079","Henry County",7.53620022208054
"47043","Dickson County",7.27671093418289
"47059","Greene County",6.49474590407997
"47171","Unicoi County",4.84828183771798
"47031","Coffee County",6.71526878959174
"47135","Perry County",7.02714884122213
"47187","Williamson County",7.28238146575604
"47035","Cumberland County",5.44830349683143
"47093","Knox County",6.81043344496712
"47029","Cocke County",6.4243011755454
"47067","Hancock County",5.6675403971851
"47071","Hardin County",7.09946673985419
"47025","Claiborne County",5.71902362006921
"47143","Rhea County",6.73847880503825
"47133","Overton County",6.05905909950336
"47131","Obion County",7.74639626593836
"47147","Robertson County",7.69845769763653
"47189","Wilson County",7.27410430793391
"47057","Grainger County",6.56287654098324
"47011","Bradley County",7.75347442755781
"47157","Shelby County",8.49501808018154
"47121","Meigs County",7.38303554028744
"47103","Lincoln County",7.20961698862062
"47037","Davidson County",7.92188430902761
"47007","Bledsoe County",5.75081010256054
"47183","Weakley County",7.76717523417858
"47117","Marshall County",6.93409752983962
"47091","Johnson County",4.52391934326674
"47155","Sevier County",6.00846638919111
"47139","Polk County",6.60591550726296
"47077","Henderson County",7.13207954763342
"47109","McNairy County",6.98040909651607
"47049","Fentress County",5.70248964436685
"47005","Benton County",7.34283379328338
"47137","Pickett County",6.26035157128515
"47051","Franklin County",6.66839529586349
"47167","Tipton County",7.88091646310884
"47001","Anderson County",5.95414973484951
"47015","Cannon County",6.60934130765543
"47033","Crockett County",8.09598637116364
"47021","Cheatham County",7.69071780931216
"47113","Madison County",7.46340041005247
"47045","Dyer County",8.11816007434761
"47053","Gibson County",7.69432953626023
"47151","Scott County",5.69502739218779
"47039","Decatur County",7.15232751120256
"47119","Maury County",7.01381370070043
"47047","Fayette County",7.38241912584793
"47063","Hamblen County",6.95221686260073
"47101","Lewis County",6.5582115082473
