"GEOID","NAMELSAD","Particulate.Matter"
"56023","Lincoln County",3.1964581656497
"56013","Fremont County",3.06690819626195
"56041","Uinta County",3.5393799605684
"56003","Big Horn County",3.66732022583231
"56017","Hot Springs County",2.82690234165006
"56043","Washakie County",3.56611581225425
"56009","Converse County",3.076073517665
"56037","Sweetwater County",3.30939009331036
"56011","Crook County",3.26836304909966
"56007","Carbon County",3.15114759283267
"56005","Campbell County",3.17569078904283
"56025","Natrona County",2.94513666280973
"56021","Laramie County",3.24263886222463
"56031","Platte County",3.72276256439108
"56045","Weston County",3.46669438895616
"56001","Albany County",3.19070339594711
"56029","Park County",2.95706871815179
"56019","Johnson County",3.20156626043234
"56033","Sheridan County",3.4031048116434
"56027","Niobrara County",3.24163824043571
"56039","Teton County",3.24547493209234
"56035","Sublette County",3.36080087652757
"56015","Goshen County",3.5843753157323
