"GEOID","NAMELSAD","Particulate.Matter"
"25003933300","Census Tract 9333",4.24673149189588
"25003934200","Census Tract 9342",4.60301275336361
"25003934300","Census Tract 9343",4.35918016395237
"25003900100","Census Tract 9001",6.3080120098675
"25003900200","Census Tract 9002",6.15163428879396
"25003900300","Census Tract 9003",5.18972690562405
"25003933400","Census Tract 9334",3.92990250438451
"25003922300","Census Tract 9223",4.22171906925544
"25003922200","Census Tract 9222",4.26923847584137
"25003935300","Census Tract 9353",5.0431393324215
"25003900500","Census Tract 9005",4.80604506792911
"25003920101","Census Tract 9201.01",4.8503132603741
"25003900400","Census Tract 9004",4.93661577768823
"25003900900","Census Tract 9009",5.60065750374317
"25003920102","Census Tract 9201.02",4.51931998594597
"25003913100","Census Tract 9131",4.59025092586488
"25003922100","Census Tract 9221",5.26501279906584
"25003914100","Census Tract 9141",4.4275914364466
"25003931400","Census Tract 9314",3.90636449173588
"25003900800","Census Tract 9008",4.96847862827404
"25003932200","Census Tract 9322",3.96331233599055
"25003900700","Census Tract 9007",4.99820394278441
"25003935100","Census Tract 9351",4.39852126919571
"25003931100","Census Tract 9311",4.29513497999716
"25003931300","Census Tract 9313",3.89967424952293
"25003911100","Census Tract 9111",4.57219447512365
"25003912100","Census Tract 9121",4.48431074077013
"25003935200","Census Tract 9352",5.54819960742141
"25003921400","Census Tract 9214",4.64155933980396
"25003921300","Census Tract 9213",4.59724162604026
"25003921500","Census Tract 9215",4.5824751042108
"25003923100","Census Tract 9231",4.32520010557803
"25003900600","Census Tract 9006",5.89029479175543
"25003901100","Census Tract 9011",5.52460097588656
"25003924100","Census Tract 9241",4.7565221282848
"25003925100","Census Tract 9251",4.70186206890629
"25003926100","Census Tract 9261",4.9121516492213
"25003932300","Census Tract 9323",4.21103223178173
"25003933200","Census Tract 9332",4.04958490571046
