"GEOID","NAMELSAD","Particulate.Matter"
"19013002700","Census Tract 27",7.07907591804158
"19013002000","Census Tract 20",7.63439489754595
"19013002800","Census Tract 28",7.12325694730211
"19013001100","Census Tract 11",8.52356436048756
"19013000100","Census Tract 1",8.66733798916631
"19013002604","Census Tract 26.04",6.7766087973005
"19013002601","Census Tract 26.01",6.84877463606818
"19013002901","Census Tract 29.01",7.5191297842654
"19013000900","Census Tract 9",8.36238652822045
"19013000200","Census Tract 2",8.58895934817246
"19013001702","Census Tract 17.02",7.28091359891559
"19013002902","Census Tract 29.02",7.07058348054716
"19013000800","Census Tract 8",7.68516560951136
"19013000300","Census Tract 3",8.5191879783282
"19013000400","Census Tract 4",8.3411733966514
"19013001200","Census Tract 12",8.47035247490115
"19013001301","Census Tract 13.01",8.16276959527794
"19013000500","Census Tract 5",8.44374689448018
"19013000700","Census Tract 7",8.65469915546239
"19013001000","Census Tract 10",8.6333931954228
"19013001302","Census Tract 13.02",7.56361967941144
"19013001400","Census Tract 14",7.84878543797738
"19013001501","Census Tract 15.01",6.95631152786808
"19013001502","Census Tract 15.02",7.16016599352059
"19013001503","Census Tract 15.03",7.73625796001936
"19013001600","Census Tract 16",7.28295367203948
"19013001701","Census Tract 17.01",8.2858529193265
"19013001800","Census Tract 18",8.08732883015999
"19013002200","Census Tract 22",8.422226858298
"19013002301","Census Tract 23.01",8.64810791268107
"19013002400","Census Tract 24",8.23331835647889
"19013002500","Census Tract 25",7.62874396618939
"19013003001","Census Tract 30.01",7.16287110308221
"19013001900","Census Tract 19",7.12634474856677
"19013002603","Census Tract 26.03",6.78467207635733
"19013003002","Census Tract 30.02",7.03325398510167
"19013002304","Census Tract 23.04",8.40904337528281
"19013002303","Census Tract 23.03",7.85080912694139
