"GEOID","NAMELSAD","Particulate.Matter"
"20015020800","Census Tract 208",6.93888956439665
"20015020902","Census Tract 209.02",6.1723468264623
"20015020500","Census Tract 205",7.21157214142093
"20015020700","Census Tract 207",6.85850199136232
"20015020600","Census Tract 206",5.88169735507865
"20015020203","Census Tract 202.03",5.94984547901238
"20015020903","Census Tract 209.03",6.02981597027201
"20015020201","Census Tract 202.01",6.07382397051744
"20015020100","Census Tract 201",5.82219147029724
"20015020400","Census Tract 204",7.2867375262077
"20015020901","Census Tract 209.01",6.01323722291523
"20015020202","Census Tract 202.02",6.54327067965048
"20015020300","Census Tract 203",6.39354542727582
