"GEOID","NAMELSAD","Particulate.Matter"
"40017301008","Census Tract 3010.08",6.65839575845251
"40017301408","Census Tract 3014.08",6.72420908905365
"40017301009","Census Tract 3010.09",6.68877738256835
"40017301407","Census Tract 3014.07",6.73177937350799
"40017301410","Census Tract 3014.10",6.77151126570319
"40017300905","Census Tract 3009.05",6.70051569252973
"40017300904","Census Tract 3009.04",6.75266104847649
"40017301007","Census Tract 3010.07",7.13490528105426
"40017300902","Census Tract 3009.02",7.79567863977756
"40017300802","Census Tract 3008.02",6.837486869954
"40017301003","Census Tract 3010.03",7.24703023151299
"40017301100","Census Tract 3011",7.6351231727044
"40017301202","Census Tract 3012.02",8.23087168165965
"40017301406","Census Tract 3014.06",6.6309959388643
"40017300901","Census Tract 3009.01",6.76692473812637
"40017301006","Census Tract 3010.06",7.47354961469058
"40017301409","Census Tract 3014.09",7.15563493573925
"40017301001","Census Tract 3010.01",7.00170412345271
"40017300202","Census Tract 3002.02",6.67970544194195
"40017301201","Census Tract 3012.01",8.37537763830781
"40017300500","Census Tract 3005",7.47272934310218
"40017300600","Census Tract 3006",7.288192386901
"40017301300","Census Tract 3013",6.76172594865826
"40017300700","Census Tract 3007",6.63229140298471
"40017300300","Census Tract 3003",7.41863112015622
"40017300801","Census Tract 3008.01",6.78488514976943
"40017300100","Census Tract 3001",6.4408227681055
"40017300201","Census Tract 3002.01",6.50562757015777
"40017300400","Census Tract 3004",7.19901234091132
