"GEOID","NAMELSAD","Particulate.Matter"
"45023020602","Census Tract 206.02",6.39390613448795
"45023020601","Census Tract 206.01",6.18677486768547
"45023020700","Census Tract 207",6.26493558091437
"45023020500","Census Tract 205",6.29645862799045
"45023020200","Census Tract 202",6.91299520550718
"45023020400","Census Tract 204",6.26159488820705
"45023020300","Census Tract 203",6.62380068493858
"45023020800","Census Tract 208",6.20975709797997
"45023020900","Census Tract 209",5.8705226167601
"45023021000","Census Tract 210",5.89761247666206
"45023020100","Census Tract 201",6.87883586820495
