"GEOID","NAMELSAD","Particulate.Matter"
"12017451000","Census Tract 4510",6.64464609359989
"12017450101","Census Tract 4501.01",6.56903359445921
"12017450702","Census Tract 4507.02",6.64393035810442
"12017450701","Census Tract 4507.01",6.62226055031979
"12017450400","Census Tract 4504",6.68806360646628
"12017450602","Census Tract 4506.02",6.77882311881917
"12017451602","Census Tract 4516.02",6.68510036049327
"12017451502","Census Tract 4515.02",6.70735249022852
"12017450901","Census Tract 4509.01",6.62196450806387
"12017451601","Census Tract 4516.01",6.61190911852995
"12017450303","Census Tract 4503.03",6.70513235380676
"12017451501","Census Tract 4515.01",6.65379372910284
"12017451101","Census Tract 4511.01",6.35301666148096
"12017450102","Census Tract 4501.02",6.60060974230577
"12017450304","Census Tract 4503.04",6.58454373553978
"12017450202","Census Tract 4502.02",6.59999990463257
"12017450201","Census Tract 4502.01",6.59999990463257
"12017450601","Census Tract 4506.01",6.74156689134001
"12017450902","Census Tract 4509.02",6.65926863100132
"12017451102","Census Tract 4511.02",6.52615317917728
"12017451400","Census Tract 4514",6.4453861154486
"12017450800","Census Tract 4508",6.61603285343606
"12017451700","Census Tract 4517",6.85376200131094
"12017450500","Census Tract 4505",6.81901816443671
"12017450302","Census Tract 4503.02",6.53216329633437
"12017451300","Census Tract 4513",6.26891103204193
"12017451200","Census Tract 4512",6.5661359166468
