"GEOID","NAMELSAD","Particulate.Matter"
"39025040401","Census Tract 404.01",7.67306605993286
"39025040102","Census Tract 401.02",7.23380637136455
"39025041103","Census Tract 411.03",7.37189460415853
"39025040600","Census Tract 406",7.42114960972194
"39025040202","Census Tract 402.02",7.15730085748913
"39025041307","Census Tract 413.07",7.81349151566898
"39025040303","Census Tract 403.03",7.36323046701656
"39025040405","Census Tract 404.05",7.44665375188728
"39025041405","Census Tract 414.05",7.83746358652707
"39025041305","Census Tract 413.05",7.56826435814633
"39025040403","Census Tract 404.03",7.66186695611787
"39025041200","Census Tract 412",7.54986485874982
"39025040203","Census Tract 402.03",7.31418880347618
"39025040800","Census Tract 408",7.1857178622017
"39025041304","Census Tract 413.04",7.55440289651971
"39025040701","Census Tract 407.01",7.92169196026885
"39025041502","Census Tract 415.02",7.24077118953842
"39025041000","Census Tract 410",7.44128474461482
"39025040900","Census Tract 409",7.09894046183369
"39025041403","Census Tract 414.03",7.76102688593752
"39025041800","Census Tract 418",6.88404961546649
"39025041701","Census Tract 417.01",7.07349278401831
"39025041702","Census Tract 417.02",7.31295073851213
"39025041101","Census Tract 411.01",7.66399838833144
"39025041600","Census Tract 416",7.67549444072632
"39025041102","Census Tract 411.02",7.34479196724182
"39025041404","Census Tract 414.04",8.62870834418521
"39025041900","Census Tract 419",6.85913198869267
"39025041406","Census Tract 414.06",7.57464783883401
"39025040404","Census Tract 404.04",7.43368023376967
"39025040302","Census Tract 403.02",7.40512392972852
"39025041306","Census Tract 413.06",7.73402724712882
"39025040301","Census Tract 403.01",7.51596467818849
"39025040500","Census Tract 405",8.18748844220901
"39025042000","Census Tract 420",6.87798415301729
"39025040101","Census Tract 401.01",7.21801538615468
"39025040702","Census Tract 407.02",7.31154752045149
"39025041501","Census Tract 415.01",7.40502129189511
"39025041303","Census Tract 413.03",7.77194079886069
"39025040204","Census Tract 402.04",7.14205839677293
