"GEOID","NAMELSAD","Particulate.Matter"
"01033020200","Census Tract 202",8.29949747535204
"01033020300","Census Tract 203",8.38544297122308
"01033020400","Census Tract 204",7.56908168316814
"01033020500","Census Tract 205",7.40008393708471
"01033020801","Census Tract 208.01",6.9970791969561
"01033020802","Census Tract 208.02",7.06518177328214
"01033021000","Census Tract 210",6.92008800355213
"01033020701","Census Tract 207.01",7.21833158902192
"01033020100","Census Tract 201",8.11266439249265
"01033020704","Census Tract 207.04",8.19058955214689
"01033020703","Census Tract 207.03",7.46110171089807
"01033020902","Census Tract 209.02",6.96315647595115
"01033020901","Census Tract 209.01",6.95602803499369
"01033020600","Census Tract 206",7.57709874686416
