"GEOID","NAMELSAD","Particulate.Matter"
"01043965402","Census Tract 9654.02",7.23290814784992
"01043964400","Census Tract 9644",6.9690027718816
"01043964200","Census Tract 9642",7.05982259288497
"01043965000","Census Tract 9650",7.96218084697263
"01043964500","Census Tract 9645",6.79918499476243
"01043964100","Census Tract 9641",6.87366829503106
"01043964700","Census Tract 9647",7.28360305582628
"01043965600","Census Tract 9656",7.14641551097642
"01043964900","Census Tract 9649",7.42700417476597
"01043965700","Census Tract 9657",7.02968155059554
"01043965300","Census Tract 9653",7.20470135969235
"01043965500","Census Tract 9655",7.12782662034846
"01043965100","Census Tract 9651",7.4914661382895
"01043964600","Census Tract 9646",6.96435336021782
"01043965200","Census Tract 9652",7.28103350049007
"01043964300","Census Tract 9643",7.00281333872169
"01043964800","Census Tract 9648",7.91671641366445
"01043965401","Census Tract 9654.01",7.34731569338661
