"GEOID","NAMELSAD","Particulate.Matter"
"01051030800","Census Tract 308",7.87176154232409
"01051030901","Census Tract 309.01",7.62031816103829
"01051030902","Census Tract 309.02",7.91443041938921
"01051030702","Census Tract 307.02",7.74510004951659
"01051030701","Census Tract 307.01",7.86466198067024
"01051031200","Census Tract 312",7.93276617962505
"01051030300","Census Tract 303",7.27081608743409
"01051030600","Census Tract 306",7.45240961828097
"01051030500","Census Tract 305",7.28359298154704
"01051031000","Census Tract 310",8.00157573168587
"01051030100","Census Tract 301",7.59105675252957
"01051030200","Census Tract 302",7.23768712249976
"01051031300","Census Tract 313",7.96136736270161
"01051031100","Census Tract 311",8.08590021774563
"01051030400","Census Tract 304",7.77912553540704
