"GEOID","NAMELSAD","Particulate.Matter"
"09001090300","Census Tract 903",6.69800847067043
"09001010101","Census Tract 101.01",6.39869164794686
"09001020600","Census Tract 206",7.44964694918158
"09001021300","Census Tract 213",7.72009086129545
"09001021100","Census Tract 211",7.91922179753583
"09001035300","Census Tract 353",6.4979544813323
"09001022100","Census Tract 221",7.73551183461328
"09001073600","Census Tract 736",7.60872110056215
"09001050100","Census Tract 501",6.8147727786226
"09001060500","Census Tract 605",7.28454910787302
"09001100300","Census Tract 1003",5.49341539231833
"09001045300","Census Tract 453",6.20475360685041
"09001061000","Census Tract 610",7.06957979234411
"09001080800","Census Tract 808",7.08484539057484
"09001030300","Census Tract 303",6.81747221609979
"09001210702","Census Tract 2107.02",6.97776542533586
"09001210701","Census Tract 2107.01",7.19360220903451
"09001230502","Census Tract 2305.02",5.28482992759402
"09001230501","Census Tract 2305.01",5.41913677669882
"09001257200","Census Tract 2572",7.67914771650295
"09001050400","Census Tract 504",6.26982833328816
"09001060700","Census Tract 607",7.46815892921841
"09001060800","Census Tract 608",7.53680238317373
"09001060900","Census Tract 609",7.4057374637918
"09001211300","Census Tract 2113",5.69606378824138
"09001020200","Census Tract 202",6.09213367345458
"09001020700","Census Tract 207",6.98517927637342
"09001045101","Census Tract 451.01",5.64987595835293
"09001050300","Census Tract 503",6.65230286713119
"09001050600","Census Tract 506",6.42646100317272
"09001210400","Census Tract 2104",6.9297139705962
"09001060600","Census Tract 606",7.15321044999496
"09001072900","Census Tract 729",7.42585868058268
"09001211100","Census Tract 2111",5.0849232703142
"09001074000","Census Tract 740",7.50202946014307
"09001110301","Census Tract 1103.01",6.12332773192439
"09001211400","Census Tract 2114",6.3097112218448
"09001220100","Census Tract 2201",5.1486190127355
"09001220300","Census Tract 2203",5.29848036726428
"09001245300","Census Tract 2453",5.61445099877523
"09001021900","Census Tract 219",7.04825898975146
"09001022000","Census Tract 220",7.75129590708553
"09001021500","Census Tract 215",7.75680752957983
"09001240200","Census Tract 2402",5.06874416799689
"09001205100","Census Tract 2051",5.95049926707186
"09001210900","Census Tract 2109",5.02709362310892
"09001042500","Census Tract 425",6.67370847384073
"09001105100","Census Tract 1051",5.66021426898616
"09001060400","Census Tract 604",5.95609999785537
"09001050500","Census Tract 505",6.56506106362912
"09001010102","Census Tract 101.02",6.08282110206468
"09001035100","Census Tract 351",6.7750423644804
"09001060200","Census Tract 602",6.72086756538695
"09001205300","Census Tract 2053",5.90698829989172
"09001081000","Census Tract 810",7.21504954506134
"09001220200","Census Tract 2202",4.83032687120035
"09001230400","Census Tract 2304",4.98133486133765
"09001245400","Census Tract 2454",5.44300167637102
"09001100200","Census Tract 1002",5.55429313901917
"09001010400","Census Tract 104",7.88052191653173
"09001061200","Census Tract 612",7.41087972999644
"09001061500","Census Tract 615",7.22508100294193
"09001061600","Census Tract 616",6.90143316424807
"09001070100","Census Tract 701",7.09977206419401
"09001022200","Census Tract 222",7.73872601721373
"09001022400","Census Tract 224",6.81375863872114
"09001022300","Census Tract 223",7.31511602149759
"09001070300","Census Tract 703",7.68594764610235
"09001070400","Census Tract 704",6.61945017358978
"09001070500","Census Tract 705",7.11180687342885
"09001070600","Census Tract 706",7.35516105292143
"09001070900","Census Tract 709",7.74289647305338
"09001070200","Census Tract 702",7.66179809920571
"09001043800","Census Tract 438",7.53511877009845
"09001061100","Census Tract 611",7.20977157581777
"09001061300","Census Tract 613",7.69641664083941
"09001043000","Census Tract 430",7.35045602487772
"09001030400","Census Tract 304",7.65332531402306
"09001061400","Census Tract 614",7.6909958857973
"09001072100","Census Tract 721",7.64698156903793
"09001090100","Census Tract 901",5.7997534037626
"09001055200","Census Tract 552",5.82258594876401
"09001045400","Census Tract 454",6.07394862100283
"09001035400","Census Tract 354",5.9289756403026
"09001042800","Census Tract 428",7.55855522489021
"09001245600","Census Tract 2456",5.19126719618603
"09001020400","Census Tract 204",6.36338263304235
"09001090600","Census Tract 906",6.66316967604516
"09001011300","Census Tract 113",7.09963927542133
"09001230300","Census Tract 2303",4.92606198274425
"09001021000","Census Tract 210",7.84751879082415
"09001030500","Census Tract 305",7.33774905969082
"09001210100","Census Tract 2101",7.39099660167358
"09001073900","Census Tract 739",7.69999980926514
"09001081300","Census Tract 813",6.44385028813023
"09001010800","Census Tract 108",7.24659134586639
"09001020100","Census Tract 201",7.83967815132723
"09001020500","Census Tract 205",6.59627439153845
"09001020800","Census Tract 208",7.70921543160028
"09001043300","Census Tract 433",7.72211830049751
"09001080400","Census Tract 804",7.50725039663193
"09001110302","Census Tract 1103.02",6.23294364895204
"09001030200","Census Tract 302",7.12675670863383
"09001045102","Census Tract 451.02",5.67046928207091
"09001010900","Census Tract 109",7.54216248372663
"09001011000","Census Tract 110",6.72831123968924
"09001100100","Census Tract 1001",5.38404619240024
"09001110600","Census Tract 1106",5.8333061403822
"09001205200","Census Tract 2052",5.23375302405796
"09001230100","Census Tract 2301",5.21420107958735
"09001257100","Census Tract 2571",4.95099828111835
"09001211200","Census Tract 2112",5.90254388235213
"09001210800","Census Tract 2108",5.26450624503351
"09001210600","Census Tract 2106",6.881578258906
"09001210500","Census Tract 2105",5.57354548069445
"09001110500","Census Tract 1105",5.60934698834732
"09001110400","Census Tract 1104",5.96453287308612
"09001043100","Census Tract 431",6.98486444023852
"09001245200","Census Tract 2452",5.12217945561897
"09001110202","Census Tract 1102.02",6.57351157447835
"09001045200","Census Tract 452",5.99159952208893
"09001035200","Census Tract 352",5.8181678563905
"09001060100","Census Tract 601",6.63085495956465
"09001020900","Census Tract 209",7.74860330891618
"09001200200","Census Tract 2002",5.85184115627245
"09001055100","Census Tract 551",5.57181519839925
"09001200301","Census Tract 2003.01",5.69360898904689
"09001073100","Census Tract 731",7.42738014423993
"09001211000","Census Tract 2110",5.61240479372545
"09001210200","Census Tract 2102",7.28923278543721
"09001105200","Census Tract 1052",5.41560988915441
"09001060300","Census Tract 603",5.85616754519685
"09001090500","Census Tract 905",6.56576683547784
"09001110201","Census Tract 1102.01",7.25791201965253
"09001030100","Census Tract 301",6.86429801793702
"09001090200","Census Tract 902",6.34315675496655
"09001010300","Census Tract 103",7.31031549226425
"09001050200","Census Tract 502",7.09558512484903
"09001081100","Census Tract 811",6.95414874157244
"09001042700","Census Tract 427",7.44005693851961
"09001020300","Census Tract 203",6.04687775239274
"09001240100","Census Tract 2401",5.26105144179776
"09001043200","Census Tract 432",7.04155506335881
"09001090400","Census Tract 904",6.8482222455415
"09001081200","Census Tract 812",6.49715790692541
"09001021200","Census Tract 212",7.83499492066355
"09001230200","Census Tract 2302",5.1832883569576
"09001010201","Census Tract 102.01",6.78812290761533
"09001010202","Census Tract 102.02",6.66951730161075
"09001200100","Census Tract 2001",6.16683358201858
"09001245100","Census Tract 2451",5.29475441925339
"09001245500","Census Tract 2455",5.56093508614975
"09001011100","Census Tract 111",6.78529351654064
"09001010500","Census Tract 105",7.77165935845092
"09001010700","Census Tract 107",7.39913897028859
"09001010600","Census Tract 106",7.60776429435549
"09001021400","Census Tract 214",7.61003185813698
"09001011200","Census Tract 112",6.91771082872019
"09001200302","Census Tract 2003.02",5.09936096267445
"09001042600","Census Tract 426",6.96456740261644
"09001042900","Census Tract 429",6.77093445242348
"09001071000","Census Tract 710",7.80000019073486
"09001071100","Census Tract 711",7.79602797573606
"09001071200","Census Tract 712",7.77759936714026
"09001071300","Census Tract 713",7.75854405875725
"09001071400","Census Tract 714",7.69999980926514
"09001071600","Census Tract 716",7.69999980926514
"09001043400","Census Tract 434",7.73284727979591
"09001043500","Census Tract 435",7.38422945403863
"09001071900","Census Tract 719",7.62171996440569
"09001072000","Census Tract 720",7.66426872839986
"09001072200","Census Tract 722",7.62441139219249
"09001043600","Census Tract 436",7.60340261318234
"09001072300","Census Tract 723",7.56457592553872
"09001072400","Census Tract 724",7.55786853949318
"09001072500","Census Tract 725",7.40479509545003
"09001072600","Census Tract 726",6.94583391025997
"09001072700","Census Tract 727",7.39551537701948
"09001043900","Census Tract 439",7.45397235910665
"09001043700","Census Tract 437",7.69258226895256
"09001072800","Census Tract 728",7.41509075509599
"09001044000","Census Tract 440",7.62945632558554
"09001044100","Census Tract 441",7.5335597239681
"09001044200","Census Tract 442",7.54432526401996
"09001073000","Census Tract 730",7.38872853808468
"09001073200","Census Tract 732",7.5195197098632
"09001073300","Census Tract 733",7.56916640228453
"09001073400","Census Tract 734",7.60550466822981
"09001073500","Census Tract 735",7.69937943897963
"09001073700","Census Tract 737",7.62110472990964
"09001073800","Census Tract 738",7.66959017797527
"09001074300","Census Tract 743",7.57710228786403
"09001074400","Census Tract 744",6.69560968193151
"09001080100","Census Tract 801",7.48861619227438
"09001021600","Census Tract 216",7.84672206816767
"09001021700","Census Tract 217",7.93431721018202
"09001021801","Census Tract 218.01",7.98169501838707
"09001021802","Census Tract 218.02",7.7817165920201
"09001080200","Census Tract 802",7.50043716425903
"09001080500","Census Tract 805",6.78942208816026
"09001080600","Census Tract 806",6.63703407623062
"09001080700","Census Tract 807",7.11850219636459
"09001044300","Census Tract 443",6.89103021889267
"09001044400","Census Tract 444",6.39916161836553
"09001044500","Census Tract 445",7.30642539508284
"09001044600","Census Tract 446",6.75823716262647
"09001090700","Census Tract 907",5.8037209149288
"09001110100","Census Tract 1101",7.46851685962288
"09001210300","Census Tract 2103",6.79819439594975
"09001080900","Census Tract 809",7.39249296221221
