"GEOID","NAMELSAD","Particulate.Matter"
"51061930304","Census Tract 9303.04",6.04098488490209
"51061930207","Census Tract 9302.07",6.13057432451745
"51061930706","Census Tract 9307.06",6.30229388346359
"51061930705","Census Tract 9307.05",6.14701274913874
"51061930704","Census Tract 9307.04",6.0458911813425
"51061930303","Census Tract 9303.03",5.97146733409545
"51061930204","Census Tract 9302.04",5.76097883706031
"51061930205","Census Tract 9302.05",5.83095041439288
"51061930401","Census Tract 9304.01",6.45897336277855
"51061930100","Census Tract 9301",6.01154566576681
"51061930302","Census Tract 9303.02",5.89617531765155
"51061930403","Census Tract 9304.03",6.24555987301222
"51061930402","Census Tract 9304.02",6.18591866532227
"51061930203","Census Tract 9302.03",5.47366693495671
"51061930206","Census Tract 9302.06",5.99519825227891
"51061930707","Census Tract 9307.07",6.10985505866368
"51061930703","Census Tract 9307.03",5.86534775595651
