"GEOID","NAMELSAD","Particulate.Matter"
"21067003908","Census Tract 39.08",7.40827218232652
"21067003909","Census Tract 39.09",8.28263241934427
"21067003910","Census Tract 39.10",8.78247947412762
"21067003911","Census Tract 39.11",8.71049305813376
"21067002002","Census Tract 20.02",7.2235573534386
"21067002001","Census Tract 20.01",8.23342216641819
"21067003503","Census Tract 35.03",8.33926480432275
"21067003504","Census Tract 35.04",8.52723038609462
"21067000101","Census Tract 1.01",8.71264590623096
"21067003912","Census Tract 39.12",7.4594591979908
"21067004208","Census Tract 42.08",7.10831115018355
"21067003913","Census Tract 39.13",6.71340516426183
"21067004006","Census Tract 40.06",6.97614253160005
"21067004003","Census Tract 40.03",8.1409964634631
"21067003704","Census Tract 37.04",7.34974699436882
"21067003600","Census Tract 36",6.9879462825659
"21067003906","Census Tract 39.06",7.16852196085591
"21067004210","Census Tract 42.10",7.11277905093602
"21067002700","Census Tract 27",8.0970438313075
"21067002800","Census Tract 28",8.16688395091802
"21067002900","Census Tract 29",8.36540841517923
"21067003000","Census Tract 30",7.71599818055934
"21067003101","Census Tract 31.01",6.9213086657123
"21067003102","Census Tract 31.02",7.32309152441986
"21067003300","Census Tract 33",7.4508795453297
"21067003402","Census Tract 34.02",8.49986173866625
"21067003404","Census Tract 34.04",7.76802722613567
"21067003405","Census Tract 34.05",7.4336493006324
"21067003407","Census Tract 34.07",7.11941578260833
"21067003501","Census Tract 35.01",8.47846675132099
"21067001400","Census Tract 14",8.43651137101273
"21067001500","Census Tract 15",8.60405099591082
"21067001600","Census Tract 16",8.54351106856004
"21067001700","Census Tract 17",8.11306522142859
"21067000200","Census Tract 2",8.67583161182316
"21067000500","Census Tract 5",8.16468677924786
"21067000300","Census Tract 3",8.68431521851215
"21067004105","Census Tract 41.05",7.46741039334905
"21067004106","Census Tract 41.06",6.90927499710737
"21067004103","Census Tract 41.03",8.18609630503791
"21067003701","Census Tract 37.01",6.48906937436963
"21067003917","Census Tract 39.17",6.81119620163027
"21067004007","Census Tract 40.07",7.1415105405446
"21067004005","Census Tract 40.05",6.9362102063175
"21067003918","Census Tract 39.18",6.59041758081759
"21067003915","Census Tract 39.15",6.73753350745233
"21067004209","Census Tract 42.09",7.11663258931623
"21067003916","Census Tract 39.16",6.64061702595069
"21067000102","Census Tract 1.02",8.72471763749996
"21067003406","Census Tract 34.06",7.1017772227701
"21067003702","Census Tract 37.02",7.52871457767231
"21067002304","Census Tract 23.04",7.45248302251084
"21067002303","Census Tract 23.03",7.97242666166615
"21067004104","Census Tract 41.04",8.12675384291894
"21067002400","Census Tract 24",7.5936489983407
"21067002500","Census Tract 25",8.71574500573268
"21067002600","Census Tract 26",8.27963037110464
"21067004107","Census Tract 41.07",7.41511061610746
"21067003703","Census Tract 37.03",7.20291464053302
"21067003804","Census Tract 38.04",7.32862382060038
"21067003201","Census Tract 32.01",7.49067535793535
"21067003202","Census Tract 32.02",8.16950969024568
"21067004204","Census Tract 42.04",7.8931699981566
"21067004205","Census Tract 42.05",7.37764263785181
"21067000400","Census Tract 4",8.69737740482397
"21067000600","Census Tract 6",8.05435534915641
"21067000700","Census Tract 7",8.45635542134076
"21067000801","Census Tract 8.01",8.47374401311891
"21067000802","Census Tract 8.02",8.70284508014434
"21067004001","Census Tract 40.01",8.41906621081965
"21067002200","Census Tract 22",8.51997055743689
"21067003802","Census Tract 38.02",6.41869638698656
"21067000900","Census Tract 9",8.75575454399635
"21067001100","Census Tract 11",8.56812459523865
"21067001300","Census Tract 13",8.36214225860198
"21067003803","Census Tract 38.03",6.8706732664384
"21067001000","Census Tract 10",8.65181831629457
"21067004207","Census Tract 42.07",6.68033111282434
"21067003914","Census Tract 39.14",6.92380149403352
"21067001800","Census Tract 18",8.78100022337624
"21067001900","Census Tract 19",8.38411291626896
"21067002302","Census Tract 23.02",7.26426451717986
