"GEOID","NAMELSAD","Particulate.Matter"
"05051012002","Census Tract 120.02",6.44757005953737
"05051012001","Census Tract 120.01",6.50361307406883
"05051011900","Census Tract 119",7.20290749364552
"05051010600","Census Tract 106",6.92724544610129
"05051010700","Census Tract 107",6.97738341087009
"05051011602","Census Tract 116.02",7.30135553257751
"05051011000","Census Tract 110",7.49221649851413
"05051011200","Census Tract 112",7.364268181968
"05051011100","Census Tract 111",6.87261601524845
"05051010300","Census Tract 103",6.8281900578702
"05051011601","Census Tract 116.01",7.30059879657047
"05051011300","Census Tract 113",8.42582179120025
"05051010400","Census Tract 104",6.71996438451284
"05051010900","Census Tract 109",7.74521385691236
"05051010500","Census Tract 105",6.74179800602545
"05051011700","Census Tract 117",7.84120259075461
"05051011500","Census Tract 115",8.43929017542678
"05051010800","Census Tract 108",7.23496383628282
"05051011400","Census Tract 114",8.68013094477845
"05051011800","Census Tract 118",7.92245804566984
