"GEOID","NAMELSAD","Particulate.Matter"
"26049013111","Census Tract 131.11",6.93790820861201
"26049013112","Census Tract 131.12",6.73304883494289
"26049013001","Census Tract 130.01",6.50226764063935
"26049013110","Census Tract 131.10",6.37935120984872
"26049013402","Census Tract 134.02",6.12717909938943
"26049001100","Census Tract 11",8.75897520697295
"26049000200","Census Tract 2",8.91482756709255
"26049003700","Census Tract 37",8.6638342299694
"26049003800","Census Tract 38",8.85745681580063
"26049980000","Census Tract 9800",7.65569173216361
"26049004000","Census Tract 40",8.8646313797267
"26049013500","Census Tract 135",8.55588254781412
"26049010110","Census Tract 101.10",6.98357167892118
"26049010111","Census Tract 101.11",6.54320060174015
"26049013204","Census Tract 132.04",7.82788390457381
"26049013301","Census Tract 133.01",6.62350947721642
"26049013401","Census Tract 134.01",6.23863475035968
"26049011213","Census Tract 112.13",6.60783436349574
"26049013113","Census Tract 131.13",6.69504174037107
"26049011302","Census Tract 113.02",8.59832579161066
"26049000100","Census Tract 1",8.05919290054332
"26049000300","Census Tract 3",8.40793995765276
"26049000700","Census Tract 7",8.4161133929555
"26049000400","Census Tract 4",8.87902551325181
"26049000500","Census Tract 5",8.31816763771945
"26049000600","Census Tract 6",8.85485050434617
"26049000800","Census Tract 8",8.79524415544075
"26049001400","Census Tract 14",8.73260382963269
"26049000900","Census Tract 9",8.36414777279916
"26049001000","Census Tract 10",8.65716960096722
"26049001300","Census Tract 13",8.41852762094941
"26049010305","Census Tract 103.05",7.48675824825824
"26049010112","Census Tract 101.12",6.47315456644625
"26049010113","Census Tract 101.13",6.45718800629955
"26049010114","Census Tract 101.14",6.47415323338109
"26049010201","Census Tract 102.01",6.44871259828384
"26049010304","Census Tract 103.04",8.31195692342771
"26049010501","Census Tract 105.01",7.23206886203843
"26049010603","Census Tract 106.03",7.20582876248908
"26049010502","Census Tract 105.02",6.72130369117787
"26049010503","Census Tract 105.03",6.64637138521578
"26049010504","Census Tract 105.04",6.62490920375577
"26049001500","Census Tract 15",8.67470744867749
"26049980100","Census Tract 9801",9.04804040135765
"26049001700","Census Tract 17",9.01784021211066
"26049001800","Census Tract 18",8.84482750554382
"26049002000","Census Tract 20",8.91462168710905
"26049002200","Census Tract 22",9.0265439986824
"26049001600","Census Tract 16",8.4927633652595
"26049002300","Census Tract 23",9.01623842463993
"26049003500","Census Tract 35",8.89999961853028
"26049011401","Census Tract 114.01",7.30964719300125
