"GEOID","NAMELSAD","Particulate.Matter"
"37083930200","Census Tract 9302",7.17345951856463
"37083931000","Census Tract 9310",5.95774301733882
"37083930501","Census Tract 9305.01",6.23818141150277
"37083930502","Census Tract 9305.02",5.75624495336748
"37083930800","Census Tract 9308",5.7255622801882
"37083930100","Census Tract 9301",6.15936474555551
"37083930300","Census Tract 9303",6.86211022670981
"37083930400","Census Tract 9304",7.09087586302009
"37083930700","Census Tract 9307",5.47907567273732
"37083931100","Census Tract 9311",5.8707552896962
"37083930900","Census Tract 9309",5.98174988723373
"37083930600","Census Tract 9306",5.79582356727295
