"GEOID","NAMELSAD","Particulate.Matter"
"48215020724","Census Tract 207.24",10.3568943665374
"48215020402","Census Tract 204.02",9.55184476280783
"48215020802","Census Tract 208.02",10.6575169216775
"48215020901","Census Tract 209.01",10.319093375424
"48215021201","Census Tract 212.01",10.729210077049
"48215021600","Census Tract 216",10.7367148644099
"48215022201","Census Tract 222.01",9.17150754328547
"48215022501","Census Tract 225.01",8.55076082617518
"48215022600","Census Tract 226",10.175960331494
"48215022701","Census Tract 227.01",9.47368898320621
"48215022702","Census Tract 227.02",8.75991689343731
"48215023700","Census Tract 237",10.1053775556527
"48215024201","Census Tract 242.01",9.25943032189535
"48215024500","Census Tract 245",8.40687907525236
"48215021302","Census Tract 213.02",9.85004812760068
"48215022800","Census Tract 228",9.17340857405949
"48215023507","Census Tract 235.07",8.79093665174957
"48215023000","Census Tract 230",8.82683417660319
"48215024106","Census Tract 241.06",8.98578639181819
"48215020201","Census Tract 202.01",9.64472047535557
"48215020202","Census Tract 202.02",9.99048060127064
"48215020501","Census Tract 205.01",10.4287874569616
"48215020600","Census Tract 206",10.8000001907349
"48215020701","Census Tract 207.01",9.54441611847706
"48215020721","Census Tract 207.21",9.74572972170183
"48215020723","Census Tract 207.23",10.7785493440497
"48215020204","Census Tract 202.04",9.89539175591588
"48215980000","Census Tract 9800",10.4905947563949
"48215020803","Census Tract 208.03",10.3003896863841
"48215020726","Census Tract 207.26",9.99468005175305
"48215020804","Census Tract 208.04",10.5721083964129
"48215020205","Census Tract 202.05",10.7030288898886
"48215020904","Census Tract 209.04",10.3819781728103
"48215020903","Census Tract 209.03",10.2031127382847
"48215023802","Census Tract 238.02",9.88216250183056
"48215020404","Census Tract 204.04",10.3538069082721
"48215020504","Census Tract 205.04",10.2418671510581
"48215020102","Census Tract 201.02",9.68697503864599
"48215021305","Census Tract 213.05",9.92944386139595
"48215024204","Census Tract 242.04",9.91853005089784
"48215024110","Census Tract 241.10",9.24650424436214
"48215021404","Census Tract 214.04",9.65438695626234
"48215023510","Census Tract 235.10",9.58041649386689
"48215023509","Census Tract 235.09",9.40927919691632
"48215021701","Census Tract 217.01",10.1094347663917
"48215022004","Census Tract 220.04",9.45514961092125
"48215022204","Census Tract 222.04",9.32751323403143
"48215021702","Census Tract 217.02",10.0138369403288
"48215023801","Census Tract 238.01",9.42044338495647
"48215021806","Census Tract 218.06",9.30204972000289
"48215022104","Census Tract 221.04",9.22248674414942
"48215023514","Census Tract 235.14",8.98071741372908
"48215023515","Census Tract 235.15",8.78721808892885
"48215022106","Census Tract 221.06",9.41769632332425
"48215022402","Census Tract 224.02",8.96545373482305
"48215023103","Census Tract 231.03",8.5980229168151
"48215023104","Census Tract 231.04",8.61875615505698
"48215023512","Census Tract 235.12",8.39718170083741
"48215024112","Census Tract 241.12",8.8751030512852
"48215023511","Census Tract 235.11",8.50978492155811
"48215024404","Census Tract 244.04",8.39545498033999
"48215023513","Census Tract 235.13",8.74968378383033
"48215021304","Census Tract 213.04",10.0870655207825
"48215024205","Census Tract 242.05",10.3338673262069
"48215024109","Census Tract 241.09",9.1815803523643
"48215022103","Census Tract 221.03",9.94240114524469
"48215024111","Census Tract 241.11",9.04982724673784
"48215020403","Census Tract 204.03",10.7527212790071
"48215020302","Census Tract 203.02",9.78309017538433
"48215020301","Census Tract 203.01",9.83947449949285
"48215020101","Census Tract 201.01",10.6148105128387
"48215024108","Census Tract 241.08",9.57056547354317
"48215024402","Census Tract 244.02",8.63755498591133
"48215023600","Census Tract 236",9.55133462443481
"48215024105","Census Tract 241.05",9.01893344820455
"48215023102","Census Tract 231.02",8.44902230610767
"48215021202","Census Tract 212.02",9.86395712797383
"48215020503","Census Tract 205.03",9.88218567327001
"48215024600","Census Tract 246",8.58466341106851
"48215022001","Census Tract 220.01",9.60113997876791
"48215021401","Census Tract 214.01",10.5757758758332
"48215024301","Census Tract 243.01",8.30089640892539
"48215023504","Census Tract 235.04",9.34530370505179
"48215023902","Census Tract 239.02",9.66727236471819
"48215022502","Census Tract 225.02",9.46229353190535
"48215022900","Census Tract 229",8.9194999746439
"48215021000","Census Tract 210",10.6084213484319
"48215021303","Census Tract 213.03",9.95025747514855
"48215023503","Census Tract 235.03",8.54648451401529
"48215024000","Census Tract 240",9.57213263530973
"48215024302","Census Tract 243.02",8.82950417486101
"48215022300","Census Tract 223",9.30194584147579
"48215021901","Census Tract 219.01",9.19064992283075
"48215021100","Census Tract 211",10.7922309329935
"48215021500","Census Tract 215",10.6281845659256
"48215021403","Census Tract 214.03",10.1580829339674
"48215021904","Census Tract 219.04",9.84222951721546
"48215021903","Census Tract 219.03",10.1667995697291
"48215021803","Census Tract 218.03",10.1324586101798
"48215021804","Census Tract 218.04",10.4758597344131
"48215022401","Census Tract 224.01",9.79640216830199
"48215024114","Census Tract 241.14",9.13010723065302
"48215023904","Census Tract 239.04",9.67544429193727
"48215024113","Census Tract 241.13",9.1434621922293
"48215024203","Census Tract 242.03",10.2109333400171
"48215020725","Census Tract 207.25",10.6357618028019
"48215021805","Census Tract 218.05",9.65145241951476
"48215022003","Census Tract 220.03",9.66340424500283
"48215022105","Census Tract 221.05",10.0219054428061
"48215022203","Census Tract 222.03",9.42856480322035
"48215024107","Census Tract 241.07",9.34774861333695
"48215023903","Census Tract 239.03",10.5461933221086
"48215024403","Census Tract 244.03",8.87019144992876
