"GEOID","NAMELSAD","Particulate.Matter"
"06023010501","Census Tract 105.01",7.90249961597528
"06023940000","Census Tract 9400",8.16133939657573
"06023010901","Census Tract 109.01",7.04204428125537
"06023010902","Census Tract 109.02",5.31481562587097
"06023011500","Census Tract 115",5.23792759607868
"06023011600","Census Tract 116",6.87895606538547
"06023001300","Census Tract 13",6.53878848363152
"06023011000","Census Tract 110",7.25986185974488
"06023010700","Census Tract 107",5.22688153740943
"06023000500","Census Tract 5",9.56167221988401
"06023000600","Census Tract 6",9.42632040206279
"06023000700","Census Tract 7",7.03883510618825
"06023001000","Census Tract 10",8.1806202814774
"06023001101","Census Tract 11.01",7.58790168501875
"06023000400","Census Tract 4",6.34009446353591
"06023011100","Census Tract 111",5.56879111316982
"06023000800","Census Tract 8",7.05517497361503
"06023010102","Census Tract 101.02",6.85714217963651
"06023010502","Census Tract 105.02",6.78989142969573
"06023001200","Census Tract 12",4.91258370081496
"06023000200","Census Tract 2",9.81180108434082
"06023000900","Census Tract 9",5.93921881812385
"06023010400","Census Tract 104",6.63591776562449
"06023011200","Census Tract 112",3.90668787204282
"06023000100","Census Tract 1",8.21564180696596
"06023010200","Census Tract 102",6.14887253821802
"06023000300","Census Tract 3",8.15615837340632
"06023010800","Census Tract 108",5.58416785858124
"06023010300","Census Tract 103",5.93561537291458
"06023010600","Census Tract 106",5.69651909374447
